wsd,pv,t,rh,slp,BJ
4.0,10000.0,11.9,29.0,1025.7,2022-01-01 16:00:00
2.0,10000.0,10.2,32.0,1025.6,2022-01-01 17:00:00
1.0,10000.0,7.5,39.0,1026.1,2022-01-01 18:00:00
0.0,9000.0,6.8,39.0,1026.8,2022-01-01 19:00:00
2.0,8000.0,5.2,49.0,1027.2,2022-01-01 20:00:00
3.0,8000.0,4.6,57.0,1027.1,2022-01-01 21:00:00
2.0,8000.0,3.6,63.0,1027.7,2022-01-01 22:00:00
0.0,7000.0,1.7,74.0,1028.1,2022-01-01 23:00:00
1.0,6000.0,0.5,78.0,1028.3,2022-01-02 00:00:00
1.0,6000.0,2.3,70.0,1028.4,2022-01-02 01:00:00
0.0,6000.0,-0.3,90.0,1028.7,2022-01-02 02:00:00
0.0,6000.0,0.2,83.0,1028.6,2022-01-02 03:00:00
2.0,6000.0,-1.6,90.0,1028.4,2022-01-02 04:00:00
2.0,6000.0,-0.5,85.0,1028.6,2022-01-02 05:00:00
1.0,6000.0,0.8,71.0,1028.9,2022-01-02 06:00:00
2.0,5000.0,-2.8,85.0,1029.5,2022-01-02 07:00:00
2.0,4500.0,-0.7,80.0,1030.2,2022-01-02 08:00:00
1.0,5000.0,3.7,68.0,1030.6,2022-01-02 09:00:00
2.0,6000.0,7.3,49.0,1031.2,2022-01-02 10:00:00
4.0,6000.0,9.1,40.0,1030.8,2022-01-02 11:00:00
4.0,5000.0,10.6,37.0,1029.6,2022-01-02 12:00:00
3.0,6000.0,11.4,33.0,1028.4,2022-01-02 13:00:00
2.0,6000.0,11.5,32.0,1027.7,2022-01-02 14:00:00
2.0,6000.0,11.4,32.0,1027.4,2022-01-02 15:00:00
