wsd,pv,t,rh,slp,BJ
10.0,10000.0,4.8,83.0,1025.5,2021-11-07 16:00:00
10.0,10000.0,4.8,84.0,1026.5,2021-11-07 17:00:00
10.0,10000.0,4.8,84.0,1027.1,2021-11-07 18:00:00
9.0,10000.0,4.6,85.0,1027.9,2021-11-07 19:00:00
6.0,10000.0,4.8,82.0,1028.3,2021-11-07 20:00:00
5.0,10000.0,4.9,80.0,1028.9,2021-11-07 21:00:00
5.0,10000.0,4.6,80.0,1029.5,2021-11-07 22:00:00
3.0,10000.0,4.6,84.0,1029.4,2021-11-07 23:00:00
4.0,10000.0,4.8,76.0,1029.4,2021-11-08 00:00:00
5.0,10000.0,4.6,71.0,1029.7,2021-11-08 01:00:00
5.0,10000.0,4.0,68.0,1029.9,2021-11-08 02:00:00
4.0,10000.0,3.1,72.0,1029.7,2021-11-08 03:00:00
4.0,10000.0,2.8,69.0,1029.7,2021-11-08 04:00:00
3.0,10000.0,2.3,72.0,1029.8,2021-11-08 05:00:00
4.0,10000.0,2.0,71.0,1029.6,2021-11-08 06:00:00
4.0,30000.0,1.5,74.0,1029.6,2021-11-08 07:00:00
5.0,30000.0,3.1,60.0,1029.9,2021-11-08 08:00:00
6.0,30000.0,4.9,48.0,1030.0,2021-11-08 09:00:00
7.0,30000.0,6.1,44.0,1030.0,2021-11-08 10:00:00
8.0,30000.0,7.3,37.0,1029.4,2021-11-08 11:00:00
8.0,30000.0,8.5,35.0,1028.4,2021-11-08 12:00:00
6.0,30000.0,9.3,33.0,1027.6,2021-11-08 13:00:00
6.0,30000.0,9.5,34.0,1027.0,2021-11-08 14:00:00
6.0,30000.0,9.7,35.0,1026.5,2021-11-08 15:00:00
