wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
1.0,10000.0,6.7,71.0,1030.5,2022-12-05 16:00:00,339,16
2.0,10000.0,6.0,74.0,1030.4,2022-12-05 17:00:00,339,17
1.0,10000.0,5.5,77.0,1030.4,2022-12-05 18:00:00,339,18
1.0,10000.0,4.7,82.0,1030.6,2022-12-05 19:00:00,339,19
2.0,9000.0,4.1,85.0,1031.1,2022-12-05 20:00:00,339,20
2.0,7000.0,3.3,89.0,1031.3,2022-12-05 21:00:00,339,21
2.0,5000.0,3.1,89.0,1031.0,2022-12-05 22:00:00,339,22
0.0,4000.0,1.6,94.0,1031.1,2022-12-05 23:00:00,339,23
0.0,3000.0,0.6,96.0,1030.6,2022-12-06 00:00:00,340,0
1.0,2800.0,0.0,96.0,1030.2,2022-12-06 01:00:00,340,1
0.0,2800.0,0.8,97.0,1029.7,2022-12-06 02:00:00,340,2
0.0,1800.0,0.3,97.0,1029.2,2022-12-06 03:00:00,340,3
0.0,1600.0,-0.4,97.0,1028.9,2022-12-06 04:00:00,340,4
0.0,900.0,-1.3,97.0,1028.6,2022-12-06 05:00:00,340,5
1.0,700.0,-0.4,98.0,1028.5,2022-12-06 06:00:00,340,6
1.0,900.0,-1.1,98.0,1028.5,2022-12-06 07:00:00,340,7
0.0,200.0,-0.2,97.0,1029.1,2022-12-06 08:00:00,340,8
0.0,500.0,2.2,97.0,1030.2,2022-12-06 09:00:00,340,9
2.0,5000.0,4.9,87.0,1029.7,2022-12-06 10:00:00,340,10
3.0,8000.0,7.2,70.0,1029.1,2022-12-06 11:00:00,340,11
2.0,8000.0,7.8,65.0,1028.2,2022-12-06 12:00:00,340,12
2.0,10000.0,9.5,56.0,1027.2,2022-12-06 13:00:00,340,13
2.0,10000.0,9.7,56.0,1026.1,2022-12-06 14:00:00,340,14
1.0,10000.0,10.7,53.0,1025.8,2022-12-06 15:00:00,340,15
