wsd,pv,t,rh,slp,BJ
3.0,1600.0,6.3,75.0,1028.9,2023-12-27 16:00:00
3.0,1300.0,4.5,83.0,1028.9,2023-12-27 17:00:00
2.0,1300.0,4.0,84.0,1029.1,2023-12-27 18:00:00
2.0,1400.0,3.0,85.0,1029.3,2023-12-27 19:00:00
2.0,1300.0,2.4,87.0,1029.5,2023-12-27 20:00:00
1.0,1200.0,1.9,87.0,1029.6,2023-12-27 21:00:00
1.0,1200.0,1.2,91.0,1029.7,2023-12-27 22:00:00
0.0,1100.0,1.1,91.0,1029.3,2023-12-27 23:00:00
2.0,900.0,0.9,92.0,1029.3,2023-12-28 00:00:00
2.0,700.0,0.1,94.0,1029.1,2023-12-28 01:00:00
2.0,500.0,0.1,96.0,1029.2,2023-12-28 02:00:00
0.0,300.0,-1.9,96.0,1029.1,2023-12-28 03:00:00
0.0,100.0,-2.6,97.0,1028.8,2023-12-28 04:00:00
1.0,100.0,-2.8,97.0,1028.8,2023-12-28 05:00:00
1.0,100.0,-2.2,97.0,1029.0,2023-12-28 06:00:00
1.0,50.0,-2.6,97.0,1029.5,2023-12-28 07:00:00
1.0,50.0,-2.3,97.0,1029.9,2023-12-28 08:00:00
1.0,100.0,-1.7,97.0,1030.1,2023-12-28 09:00:00
1.0,100.0,-0.7,98.0,1030.4,2023-12-28 10:00:00
1.0,300.0,1.4,98.0,1030.6,2023-12-28 11:00:00
2.0,1200.0,3.7,97.0,1029.7,2023-12-28 12:00:00
2.0,1500.0,6.8,74.0,1028.7,2023-12-28 13:00:00
4.0,1500.0,6.5,78.0,1028.4,2023-12-28 14:00:00
3.0,1500.0,7.0,72.0,1028.0,2023-12-28 15:00:00
