wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,6000.0,9.2,40.0,1033.4,2022-02-23 16:00:00,54,16
2.0,7000.0,8.4,43.0,1033.1,2022-02-23 17:00:00,54,17
3.0,6000.0,6.7,51.0,1033.3,2022-02-23 18:00:00,54,18
2.0,6000.0,5.1,57.0,1033.6,2022-02-23 19:00:00,54,19
2.0,6000.0,4.3,59.0,1034.4,2022-02-23 20:00:00,54,20
2.0,6000.0,3.1,62.0,1034.4,2022-02-23 21:00:00,54,21
2.0,6000.0,3.3,63.0,1034.6,2022-02-23 22:00:00,54,22
2.0,5000.0,3.2,63.0,1034.2,2022-02-23 23:00:00,54,23
2.0,5000.0,2.7,70.0,1034.3,2022-02-24 00:00:00,55,0
2.0,4000.0,0.9,83.0,1034.0,2022-02-24 01:00:00,55,1
2.0,4000.0,1.2,80.0,1033.6,2022-02-24 02:00:00,55,2
3.0,3600.0,1.1,81.0,1033.5,2022-02-24 03:00:00,55,3
2.0,3500.0,1.0,81.0,1033.1,2022-02-24 04:00:00,55,4
1.0,3000.0,0.1,88.0,1033.4,2022-02-24 05:00:00,55,5
1.0,2500.0,-0.6,91.0,1033.6,2022-02-24 06:00:00,55,6
2.0,2000.0,-0.6,94.0,1033.9,2022-02-24 07:00:00,55,7
2.0,2300.0,2.3,85.0,1034.5,2022-02-24 08:00:00,55,8
4.0,3800.0,5.1,74.0,1034.9,2022-02-24 09:00:00,55,9
4.0,4500.0,6.8,59.0,1034.6,2022-02-24 10:00:00,55,10
4.0,5000.0,8.7,51.0,1034.7,2022-02-24 11:00:00,55,11
4.0,7000.0,9.1,45.0,1033.6,2022-02-24 12:00:00,55,12
4.0,10000.0,10.1,32.0,1032.5,2022-02-24 13:00:00,55,13
3.0,10000.0,11.0,29.0,1031.1,2022-02-24 14:00:00,55,14
2.0,10000.0,11.4,25.0,1030.1,2022-02-24 15:00:00,55,15
