wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
4.0,10000.0,18.0,40.0,1026.4,2024-11-07 16:00:00,312,16
3.0,10000.0,17.0,44.0,1026.8,2024-11-07 17:00:00,312,17
3.0,10000.0,15.5,49.0,1027.1,2024-11-07 18:00:00,312,18
3.0,10000.0,13.8,59.0,1027.3,2024-11-07 19:00:00,312,19
3.0,10000.0,12.9,63.0,1027.5,2024-11-07 20:00:00,312,20
3.0,10000.0,12.5,64.0,1027.9,2024-11-07 21:00:00,312,21
3.0,10000.0,11.6,69.0,1028.1,2024-11-07 22:00:00,312,22
3.0,10000.0,11.6,67.0,1028.2,2024-11-07 23:00:00,312,23
3.0,10000.0,11.1,69.0,1027.9,2024-11-08 00:00:00,313,0
4.0,10000.0,12.7,76.0,1023.6,2024-11-08 01:00:00,313,1
3.0,10000.0,12.7,77.0,1023.2,2024-11-08 02:00:00,313,2
2.0,10000.0,12.6,80.0,1023.0,2024-11-08 03:00:00,313,3
3.0,10000.0,13.1,81.0,1022.8,2024-11-08 04:00:00,313,4
3.0,10000.0,13.2,82.0,1023.0,2024-11-08 05:00:00,313,5
3.0,8000.0,13.2,86.0,1023.4,2024-11-08 06:00:00,313,6
3.0,6000.0,13.1,87.0,1023.3,2024-11-08 07:00:00,313,7
4.0,10000.0,11.1,80.0,1027.1,2024-11-08 08:00:00,313,8
5.0,10000.0,13.7,68.0,1027.0,2024-11-08 09:00:00,313,9
5.0,10000.0,15.2,63.0,1027.1,2024-11-08 10:00:00,313,10
5.0,10000.0,17.2,53.0,1026.8,2024-11-08 11:00:00,313,11
3.0,10000.0,17.5,51.0,1026.1,2024-11-08 12:00:00,313,12
4.0,10000.0,18.1,46.0,1024.7,2024-11-08 13:00:00,313,13
4.0,10000.0,18.9,44.0,1024.0,2024-11-08 14:00:00,313,14
5.0,10000.0,18.6,45.0,1023.8,2024-11-08 15:00:00,313,15
