wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,9000.0,17.0,60.0,1021.5,2021-11-17 16:00:00,321,16
2.0,7000.0,16.2,65.0,1021.4,2021-11-17 17:00:00,321,17
2.0,7000.0,15.3,69.0,1021.4,2021-11-17 18:00:00,321,18
2.0,8000.0,15.3,68.0,1021.3,2021-11-17 19:00:00,321,19
2.0,7000.0,14.7,70.0,1021.4,2021-11-17 20:00:00,321,20
2.0,6000.0,13.0,84.0,1021.4,2021-11-17 21:00:00,321,21
2.0,6000.0,13.2,81.0,1021.5,2021-11-17 22:00:00,321,22
2.0,6000.0,12.6,82.0,1021.3,2021-11-17 23:00:00,321,23
1.0,5000.0,11.3,88.0,1020.9,2021-11-18 00:00:00,322,0
1.0,4000.0,9.5,94.0,1020.7,2021-11-18 01:00:00,322,1
1.0,3600.0,9.0,96.0,1020.4,2021-11-18 02:00:00,322,2
1.0,2800.0,9.4,96.0,1020.2,2021-11-18 03:00:00,322,3
2.0,2200.0,9.0,94.0,1019.5,2021-11-18 04:00:00,322,4
0.0,1700.0,7.4,96.0,1019.3,2021-11-18 05:00:00,322,5
3.0,1800.0,7.6,95.0,1019.3,2021-11-18 06:00:00,322,6
2.0,1100.0,7.7,97.0,1019.5,2021-11-18 07:00:00,322,7
2.0,900.0,10.7,96.0,1019.9,2021-11-18 08:00:00,322,8
3.0,2000.0,12.6,90.0,1019.9,2021-11-18 09:00:00,322,9
4.0,3000.0,14.5,82.0,1019.6,2021-11-18 10:00:00,322,10
5.0,5000.0,17.2,68.0,1018.8,2021-11-18 11:00:00,322,11
4.0,6000.0,18.5,55.0,1017.5,2021-11-18 12:00:00,322,12
4.0,6000.0,19.4,50.0,1016.2,2021-11-18 13:00:00,322,13
3.0,7000.0,19.8,44.0,1015.2,2021-11-18 14:00:00,322,14
4.0,6000.0,19.4,49.0,1014.6,2021-11-18 15:00:00,322,15
