wsd,pv,t,rh,slp,BJ
2.0,1300.0,1.1,95.0,1029.5,2022-02-08 16:00:00
1.0,1300.0,1.1,96.0,1029.5,2022-02-08 17:00:00
1.0,1300.0,1.0,96.0,1029.5,2022-02-08 18:00:00
0.0,1600.0,0.9,97.0,1029.4,2022-02-08 19:00:00
0.0,1600.0,1.1,97.0,1029.0,2022-02-08 20:00:00
0.0,1600.0,0.9,97.0,1028.8,2022-02-08 21:00:00
1.0,1600.0,1.0,98.0,1029.1,2022-02-08 22:00:00
1.0,1300.0,0.9,98.0,1028.9,2022-02-08 23:00:00
1.0,1300.0,0.9,98.0,1028.6,2022-02-09 00:00:00
2.0,600.0,0.7,98.0,1027.9,2022-02-09 01:00:00
1.0,500.0,0.6,98.0,1027.7,2022-02-09 02:00:00
2.0,500.0,0.7,98.0,1027.1,2022-02-09 03:00:00
2.0,500.0,0.8,98.0,1026.5,2022-02-09 04:00:00
1.0,600.0,0.9,98.0,1025.9,2022-02-09 05:00:00
1.0,700.0,1.0,98.0,1026.2,2022-02-09 06:00:00
1.0,800.0,0.8,98.0,1026.5,2022-02-09 07:00:00
1.0,800.0,1.0,98.0,1027.0,2022-02-09 08:00:00
2.0,1300.0,1.5,98.0,1027.2,2022-02-09 09:00:00
2.0,2200.0,1.8,97.0,1026.8,2022-02-09 10:00:00
3.0,2500.0,2.4,93.0,1026.7,2022-02-09 11:00:00
3.0,2500.0,2.8,92.0,1025.9,2022-02-09 12:00:00
2.0,3000.0,2.8,92.0,1025.2,2022-02-09 13:00:00
1.0,2400.0,2.9,93.0,1024.5,2022-02-09 14:00:00
1.0,2600.0,2.8,93.0,1024.2,2022-02-09 15:00:00
