wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
5.0,10000.0,20.8,31.0,1022.4,2022-10-25 16:00:00,298,16
4.0,10000.0,20.0,34.0,1021.8,2022-10-25 17:00:00,298,17
2.0,10000.0,18.1,40.0,1021.9,2022-10-25 18:00:00,298,18
3.0,10000.0,17.7,44.0,1022.3,2022-10-25 19:00:00,298,19
3.0,10000.0,17.3,48.0,1022.7,2022-10-25 20:00:00,298,20
2.0,10000.0,16.9,51.0,1022.7,2022-10-25 21:00:00,298,21
4.0,10000.0,17.2,52.0,1022.4,2022-10-25 22:00:00,298,22
3.0,10000.0,16.9,55.0,1022.3,2022-10-25 23:00:00,298,23
2.0,10000.0,16.5,59.0,1022.3,2022-10-26 00:00:00,299,0
2.0,10000.0,15.9,62.0,1021.6,2022-10-26 01:00:00,299,1
2.0,10000.0,15.4,66.0,1022.0,2022-10-26 02:00:00,299,2
2.0,10000.0,15.1,71.0,1021.9,2022-10-26 03:00:00,299,3
2.0,10000.0,14.6,77.0,1021.8,2022-10-26 04:00:00,299,4
2.0,10000.0,14.3,82.0,1022.2,2022-10-26 05:00:00,299,5
2.0,10000.0,13.8,86.0,1022.3,2022-10-26 06:00:00,299,6
2.0,7000.0,13.7,89.0,1022.8,2022-10-26 07:00:00,299,7
2.0,6000.0,13.5,92.0,1023.2,2022-10-26 08:00:00,299,8
2.0,5000.0,13.8,93.0,1023.3,2022-10-26 09:00:00,299,9
1.0,6000.0,13.9,92.0,1023.2,2022-10-26 10:00:00,299,10
1.0,6000.0,14.3,92.0,1023.0,2022-10-26 11:00:00,299,11
1.0,6000.0,14.1,93.0,1022.6,2022-10-26 12:00:00,299,12
3.0,4500.0,14.3,93.0,1021.7,2022-10-26 13:00:00,299,13
3.0,4500.0,14.2,93.0,1021.5,2022-10-26 14:00:00,299,14
2.0,6000.0,14.0,93.0,1021.7,2022-10-26 15:00:00,299,15
