wsd,pv,t,rh,slp,BJ
3.0,10000.0,5.2,68.0,1028.2,2023-02-22 16:00:00
3.0,10000.0,5.2,68.0,1028.2,2023-02-22 17:00:00
3.0,10000.0,5.0,69.0,1028.2,2023-02-22 18:00:00
2.0,10000.0,4.7,72.0,1028.1,2023-02-22 19:00:00
2.0,10000.0,4.2,75.0,1027.9,2023-02-22 20:00:00
2.0,10000.0,3.9,76.0,1027.8,2023-02-22 21:00:00
2.0,8000.0,3.1,82.0,1027.7,2023-02-22 22:00:00
2.0,8000.0,2.9,82.0,1027.2,2023-02-22 23:00:00
3.0,6000.0,2.2,88.0,1026.8,2023-02-23 00:00:00
3.0,5000.0,1.6,91.0,1026.6,2023-02-23 01:00:00
3.0,4000.0,1.4,92.0,1026.3,2023-02-23 02:00:00
1.0,4000.0,1.0,93.0,1026.0,2023-02-23 03:00:00
1.0,4000.0,1.1,94.0,1025.5,2023-02-23 04:00:00
2.0,4000.0,1.7,91.0,1025.0,2023-02-23 05:00:00
2.0,4000.0,1.6,92.0,1025.3,2023-02-23 06:00:00
2.0,3500.0,1.7,91.0,1025.6,2023-02-23 07:00:00
3.0,4000.0,2.7,88.0,1026.0,2023-02-23 08:00:00
3.0,5000.0,3.6,82.0,1026.5,2023-02-23 09:00:00
2.0,5000.0,4.1,81.0,1026.4,2023-02-23 10:00:00
1.0,4000.0,4.0,87.0,1026.4,2023-02-23 11:00:00
2.0,4400.0,3.4,88.0,1026.0,2023-02-23 12:00:00
1.0,3500.0,2.8,89.0,1025.0,2023-02-23 13:00:00
2.0,3200.0,2.5,92.0,1024.2,2023-02-23 14:00:00
1.0,2800.0,2.5,92.0,1024.3,2023-02-23 15:00:00
