wsd,pv,t,rh,slp,BJ
1.0,10000.0,13.1,26.0,1025.3,2023-12-03 16:00:00
2.0,10000.0,11.6,30.0,1025.3,2023-12-03 17:00:00
2.0,10000.0,9.7,36.0,1025.2,2023-12-03 18:00:00
2.0,10000.0,9.1,36.0,1025.4,2023-12-03 19:00:00
2.0,10000.0,8.2,41.0,1025.3,2023-12-03 20:00:00
2.0,10000.0,7.7,42.0,1025.1,2023-12-03 21:00:00
1.0,10000.0,6.6,46.0,1025.2,2023-12-03 22:00:00
2.0,10000.0,6.6,48.0,1025.0,2023-12-03 23:00:00
1.0,10000.0,6.1,52.0,1024.8,2023-12-04 00:00:00
1.0,10000.0,2.8,83.0,1023.9,2023-12-04 01:00:00
2.0,10000.0,4.2,65.0,1023.7,2023-12-04 02:00:00
2.0,10000.0,3.0,69.0,1023.0,2023-12-04 03:00:00
3.0,10000.0,2.7,70.0,1022.1,2023-12-04 04:00:00
2.0,10000.0,4.4,62.0,1021.6,2023-12-04 05:00:00
3.0,10000.0,4.7,68.0,1021.5,2023-12-04 06:00:00
3.0,7000.0,5.3,68.0,1021.4,2023-12-04 07:00:00
4.0,7000.0,6.6,59.0,1021.4,2023-12-04 08:00:00
3.0,8000.0,7.9,54.0,1021.9,2023-12-04 09:00:00
3.0,10000.0,9.9,48.0,1021.5,2023-12-04 10:00:00
3.0,10000.0,12.0,42.0,1020.8,2023-12-04 11:00:00
2.0,10000.0,13.3,37.0,1019.8,2023-12-04 12:00:00
2.0,10000.0,14.5,34.0,1018.5,2023-12-04 13:00:00
1.0,10000.0,15.8,30.0,1017.3,2023-12-04 14:00:00
2.0,10000.0,16.4,28.0,1016.9,2023-12-04 15:00:00
