wsd,pv,t,rh,slp,BJ
4.0,8000.0,19.3,70.0,1019.0,2022-03-30 16:00:00
4.0,7000.0,18.7,69.0,1018.8,2022-03-30 17:00:00
4.0,7000.0,17.9,72.0,1019.7,2022-03-30 18:00:00
4.0,7000.0,17.0,80.0,1020.5,2022-03-30 19:00:00
3.0,6000.0,16.7,81.0,1021.5,2022-03-30 20:00:00
2.0,5000.0,16.1,85.0,1022.5,2022-03-30 21:00:00
4.0,5000.0,16.2,82.0,1023.4,2022-03-30 22:00:00
4.0,4000.0,15.6,87.0,1023.5,2022-03-30 23:00:00
3.0,4000.0,15.5,87.0,1023.9,2022-03-31 00:00:00
3.0,3500.0,15.3,88.0,1023.9,2022-03-31 01:00:00
2.0,3500.0,15.0,90.0,1024.3,2022-03-31 02:00:00
2.0,3000.0,14.7,91.0,1024.3,2022-03-31 03:00:00
3.0,2600.0,14.6,91.0,1024.7,2022-03-31 04:00:00
5.0,2900.0,14.4,90.0,1025.2,2022-03-31 05:00:00
7.0,2900.0,13.4,87.0,1025.8,2022-03-31 06:00:00
6.0,2500.0,12.9,87.0,1026.3,2022-03-31 07:00:00
6.0,3000.0,12.3,85.0,1028.6,2022-03-31 08:00:00
5.0,2500.0,12.3,87.0,1029.2,2022-03-31 09:00:00
6.0,3200.0,12.6,83.0,1029.7,2022-03-31 10:00:00
5.0,4000.0,12.5,82.0,1030.2,2022-03-31 11:00:00
4.0,4000.0,12.9,78.0,1030.3,2022-03-31 12:00:00
6.0,4000.0,12.3,81.0,1030.3,2022-03-31 13:00:00
3.0,3600.0,11.2,87.0,1029.9,2022-03-31 14:00:00
4.0,3800.0,11.3,89.0,1029.1,2022-03-31 15:00:00
