wsd,pv,t,rh,slp,BJ
3.0,6000.0,19.5,77.0,1021.2,2024-11-10 16:00:00
2.0,5000.0,17.6,85.0,1021.4,2024-11-10 17:00:00
2.0,4000.0,16.5,90.0,1021.8,2024-11-10 18:00:00
2.0,4000.0,15.6,93.0,1022.4,2024-11-10 19:00:00
2.0,4000.0,15.2,94.0,1022.5,2024-11-10 20:00:00
2.0,4500.0,14.8,93.0,1022.9,2024-11-10 21:00:00
3.0,8000.0,15.3,86.0,1023.0,2024-11-10 22:00:00
3.0,8000.0,15.2,84.0,1023.3,2024-11-10 23:00:00
3.0,8000.0,14.5,83.0,1023.2,2024-11-11 00:00:00
4.0,6000.0,15.9,74.0,1020.3,2024-11-11 01:00:00
1.0,5000.0,13.4,85.0,1020.5,2024-11-11 02:00:00
2.0,4000.0,12.0,91.0,1020.6,2024-11-11 03:00:00
1.0,4000.0,12.0,92.0,1020.5,2024-11-11 04:00:00
2.0,3500.0,11.6,94.0,1020.6,2024-11-11 05:00:00
2.0,4000.0,12.2,91.0,1021.0,2024-11-11 06:00:00
3.0,3000.0,13.0,88.0,1021.5,2024-11-11 07:00:00
0.0,4000.0,14.1,87.0,1023.9,2024-11-11 08:00:00
3.0,5000.0,16.8,74.0,1024.2,2024-11-11 09:00:00
4.0,10000.0,18.8,54.0,1023.9,2024-11-11 10:00:00
3.0,10000.0,20.2,44.0,1023.2,2024-11-11 11:00:00
3.0,10000.0,21.6,42.0,1022.1,2024-11-11 12:00:00
3.0,10000.0,22.3,39.0,1021.1,2024-11-11 13:00:00
3.0,10000.0,22.2,39.0,1020.1,2024-11-11 14:00:00
4.0,10000.0,22.3,40.0,1019.8,2024-11-11 15:00:00
