wsd,pv,t,rh,slp,BJ
4.0,10000.0,6.3,36.0,1026.0,2022-12-02 16:00:00
3.0,10000.0,4.8,47.0,1025.5,2022-12-02 17:00:00
4.0,10000.0,3.6,58.0,1025.9,2022-12-02 18:00:00
3.0,10000.0,2.6,63.0,1026.0,2022-12-02 19:00:00
3.0,10000.0,2.1,68.0,1026.1,2022-12-02 20:00:00
3.0,10000.0,1.4,75.0,1025.6,2022-12-02 21:00:00
3.0,10000.0,1.7,75.0,1025.9,2022-12-02 22:00:00
2.0,10000.0,1.3,78.0,1026.0,2022-12-02 23:00:00
3.0,10000.0,1.5,76.0,1025.8,2022-12-03 00:00:00
0.0,10000.0,0.6,82.0,1025.3,2022-12-03 01:00:00
2.0,10000.0,1.2,80.0,1024.7,2022-12-03 02:00:00
1.0,10000.0,0.0,88.0,1024.6,2022-12-03 03:00:00
2.0,8000.0,-0.1,91.0,1024.1,2022-12-03 04:00:00
2.0,8000.0,0.4,86.0,1023.9,2022-12-03 05:00:00
1.0,6000.0,-1.0,91.0,1025.2,2022-12-03 06:00:00
3.0,6000.0,-1.2,93.0,1026.5,2022-12-03 07:00:00
1.0,6000.0,0.4,91.0,1027.1,2022-12-03 08:00:00
2.0,6000.0,2.3,86.0,1026.7,2022-12-03 09:00:00
3.0,8000.0,5.1,72.0,1027.2,2022-12-03 10:00:00
4.0,10000.0,6.6,62.0,1026.9,2022-12-03 11:00:00
3.0,10000.0,6.8,58.0,1026.2,2022-12-03 12:00:00
3.0,10000.0,6.8,54.0,1025.1,2022-12-03 13:00:00
0.0,10000.0,6.8,51.0,1025.3,2022-12-03 14:00:00
2.0,10000.0,6.8,52.0,1025.3,2022-12-03 15:00:00
