wsd,pv,t,rh,slp,BJ
4.0,8000.0,23.7,41.0,1022.6,2022-10-23 16:00:00
2.0,10000.0,22.4,41.0,1022.5,2022-10-23 17:00:00
2.0,10000.0,20.3,45.0,1022.8,2022-10-23 18:00:00
2.0,10000.0,17.4,61.0,1023.2,2022-10-23 19:00:00
3.0,10000.0,17.4,54.0,1023.6,2022-10-23 20:00:00
3.0,10000.0,16.8,56.0,1023.9,2022-10-23 21:00:00
3.0,10000.0,16.0,56.0,1024.3,2022-10-23 22:00:00
4.0,10000.0,15.8,58.0,1024.3,2022-10-23 23:00:00
4.0,10000.0,15.0,63.0,1024.3,2022-10-24 00:00:00
3.0,10000.0,14.3,68.0,1024.1,2022-10-24 01:00:00
3.0,10000.0,13.8,71.0,1024.4,2022-10-24 02:00:00
3.0,10000.0,13.2,73.0,1024.0,2022-10-24 03:00:00
3.0,10000.0,12.5,77.0,1023.9,2022-10-24 04:00:00
3.0,10000.0,12.2,77.0,1023.7,2022-10-24 05:00:00
1.0,10000.0,10.2,88.0,1024.4,2022-10-24 06:00:00
1.0,10000.0,9.9,92.0,1024.7,2022-10-24 07:00:00
1.0,10000.0,14.6,71.0,1025.8,2022-10-24 08:00:00
3.0,10000.0,16.4,61.0,1026.6,2022-10-24 09:00:00
4.0,10000.0,18.7,52.0,1026.4,2022-10-24 10:00:00
4.0,10000.0,21.3,41.0,1026.0,2022-10-24 11:00:00
4.0,10000.0,22.2,29.0,1025.2,2022-10-24 12:00:00
4.0,10000.0,23.0,27.0,1024.4,2022-10-24 13:00:00
4.0,10000.0,23.6,25.0,1023.9,2022-10-24 14:00:00
3.0,10000.0,23.5,25.0,1023.6,2022-10-24 15:00:00
