wsd,pv,t,rh,slp,BJ
3.0,4200.0,7.7,71.0,1034.7,2023-11-12 16:00:00
2.0,4200.0,6.4,80.0,1034.9,2023-11-12 17:00:00
2.0,4500.0,6.6,80.0,1035.4,2023-11-12 18:00:00
2.0,4500.0,6.3,81.0,1036.4,2023-11-12 19:00:00
2.0,4500.0,5.8,81.0,1037.0,2023-11-12 20:00:00
2.0,4500.0,4.8,88.0,1037.4,2023-11-12 21:00:00
2.0,4000.0,4.3,90.0,1037.7,2023-11-12 22:00:00
2.0,3000.0,4.1,90.0,1037.8,2023-11-12 23:00:00
2.0,2800.0,3.7,90.0,1037.3,2023-11-13 00:00:00
2.0,3000.0,3.1,92.0,1037.4,2023-11-13 01:00:00
2.0,5000.0,3.9,83.0,1037.1,2023-11-13 02:00:00
2.0,6000.0,3.9,86.0,1036.8,2023-11-13 03:00:00
2.0,7000.0,3.1,82.0,1036.9,2023-11-13 04:00:00
2.0,7000.0,3.5,80.0,1036.9,2023-11-13 05:00:00
3.0,7000.0,3.3,79.0,1036.9,2023-11-13 06:00:00
2.0,7000.0,3.1,76.0,1037.1,2023-11-13 07:00:00
3.0,10000.0,3.6,65.0,1037.4,2023-11-13 08:00:00
4.0,10000.0,4.4,54.0,1037.4,2023-11-13 09:00:00
3.0,10000.0,5.1,49.0,1037.3,2023-11-13 10:00:00
2.0,10000.0,5.9,45.0,1036.8,2023-11-13 11:00:00
1.0,10000.0,7.2,35.0,1036.0,2023-11-13 12:00:00
3.0,10000.0,7.5,37.0,1034.9,2023-11-13 13:00:00
1.0,10000.0,7.3,37.0,1033.7,2023-11-13 14:00:00
2.0,10000.0,7.6,40.0,1033.3,2023-11-13 15:00:00
