wsd,pv,t,rh,slp,BJ
6.0,10000.0,21.7,47.0,1013.5,2022-03-29 16:00:00
4.0,10000.0,21.5,50.0,1013.2,2022-03-29 17:00:00
6.0,10000.0,20.1,55.0,1013.7,2022-03-29 18:00:00
5.0,10000.0,18.8,58.0,1013.9,2022-03-29 19:00:00
6.0,10000.0,18.5,60.0,1014.0,2022-03-29 20:00:00
5.0,10000.0,18.0,62.0,1014.8,2022-03-29 21:00:00
5.0,10000.0,17.0,68.0,1015.5,2022-03-29 22:00:00
3.0,10000.0,14.7,78.0,1016.5,2022-03-29 23:00:00
3.0,10000.0,14.8,79.0,1015.7,2022-03-30 00:00:00
3.0,10000.0,13.3,85.0,1015.7,2022-03-30 01:00:00
2.0,10000.0,13.8,85.0,1015.9,2022-03-30 02:00:00
2.0,10000.0,12.1,93.0,1015.9,2022-03-30 03:00:00
1.0,10000.0,12.0,92.0,1016.0,2022-03-30 04:00:00
2.0,5000.0,11.3,95.0,1016.2,2022-03-30 05:00:00
1.0,4000.0,11.0,95.0,1016.8,2022-03-30 06:00:00
2.0,3500.0,11.8,97.0,1017.8,2022-03-30 07:00:00
1.0,5000.0,14.6,88.0,1018.4,2022-03-30 08:00:00
2.0,6000.0,16.7,79.0,1019.4,2022-03-30 09:00:00
5.0,10000.0,19.7,61.0,1019.5,2022-03-30 10:00:00
4.0,10000.0,19.5,64.0,1019.5,2022-03-30 11:00:00
3.0,10000.0,20.5,59.0,1019.7,2022-03-30 12:00:00
5.0,10000.0,21.7,53.0,1019.0,2022-03-30 13:00:00
5.0,10000.0,20.9,58.0,1018.9,2022-03-30 14:00:00
3.0,10000.0,20.2,59.0,1018.7,2022-03-30 15:00:00
