wsd,pv,t,rh,slp,BJ
2.0,4200.0,14.4,69.0,1010.0,2023-03-20 16:00:00
2.0,4000.0,14.3,69.0,1009.5,2023-03-20 17:00:00
2.0,4000.0,14.0,71.0,1009.4,2023-03-20 18:00:00
2.0,3000.0,12.3,87.0,1009.7,2023-03-20 19:00:00
3.0,2200.0,11.9,92.0,1010.1,2023-03-20 20:00:00
1.0,1800.0,11.6,95.0,1010.6,2023-03-20 21:00:00
1.0,2200.0,11.6,95.0,1010.9,2023-03-20 22:00:00
1.0,1600.0,11.5,96.0,1010.4,2023-03-20 23:00:00
1.0,1400.0,11.5,97.0,1010.2,2023-03-21 00:00:00
1.0,1200.0,11.5,97.0,1009.7,2023-03-21 01:00:00
1.0,1200.0,11.5,97.0,1009.2,2023-03-21 02:00:00
2.0,1000.0,11.4,97.0,1008.6,2023-03-21 03:00:00
2.0,1000.0,11.2,97.0,1008.2,2023-03-21 04:00:00
2.0,1000.0,11.1,97.0,1008.5,2023-03-21 05:00:00
2.0,1200.0,11.1,97.0,1009.0,2023-03-21 06:00:00
2.0,1200.0,11.1,97.0,1009.4,2023-03-21 07:00:00
3.0,1200.0,11.0,97.0,1009.7,2023-03-21 08:00:00
4.0,1400.0,11.5,94.0,1009.6,2023-03-21 09:00:00
4.0,1800.0,12.0,91.0,1009.7,2023-03-21 10:00:00
3.0,2300.0,12.5,87.0,1009.5,2023-03-21 11:00:00
4.0,3000.0,12.8,86.0,1008.9,2023-03-21 12:00:00
3.0,3000.0,12.8,89.0,1008.4,2023-03-21 13:00:00
3.0,3000.0,12.5,91.0,1007.7,2023-03-21 14:00:00
2.0,2000.0,12.2,94.0,1007.5,2023-03-21 15:00:00
