wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
5.0,10000.0,15.7,31.0,1021.8,2023-11-06 16:00:00,310,16
3.0,10000.0,14.9,40.0,1021.9,2023-11-06 17:00:00,310,17
1.0,10000.0,12.7,53.0,1022.2,2023-11-06 18:00:00,310,18
2.0,10000.0,12.3,51.0,1022.6,2023-11-06 19:00:00,310,19
1.0,10000.0,11.8,56.0,1023.1,2023-11-06 20:00:00,310,20
1.0,10000.0,9.4,71.0,1023.4,2023-11-06 21:00:00,310,21
2.0,10000.0,9.4,68.0,1023.9,2023-11-06 22:00:00,310,22
2.0,10000.0,8.6,67.0,1024.2,2023-11-06 23:00:00,310,23
0.0,10000.0,6.5,91.0,1023.8,2023-11-07 00:00:00,311,0
0.0,10000.0,7.3,86.0,1023.8,2023-11-07 01:00:00,311,1
1.0,10000.0,7.7,80.0,1023.9,2023-11-07 02:00:00,311,2
2.0,10000.0,7.3,78.0,1023.7,2023-11-07 03:00:00,311,3
1.0,10000.0,7.1,73.0,1023.5,2023-11-07 04:00:00,311,4
1.0,10000.0,7.1,84.0,1023.5,2023-11-07 05:00:00,311,5
1.0,10000.0,7.4,74.0,1023.5,2023-11-07 06:00:00,311,6
3.0,10000.0,9.1,67.0,1024.0,2023-11-07 07:00:00,311,7
3.0,10000.0,11.2,64.0,1024.1,2023-11-07 08:00:00,311,8
4.0,10000.0,13.2,58.0,1024.0,2023-11-07 09:00:00,311,9
5.0,10000.0,15.1,48.0,1023.9,2023-11-07 10:00:00,311,10
5.0,10000.0,16.8,41.0,1023.0,2023-11-07 11:00:00,311,11
4.0,10000.0,17.9,37.0,1021.8,2023-11-07 12:00:00,311,12
4.0,10000.0,18.7,35.0,1020.4,2023-11-07 13:00:00,311,13
4.0,10000.0,19.7,34.0,1019.8,2023-11-07 14:00:00,311,14
6.0,10000.0,19.5,28.0,1019.2,2023-11-07 15:00:00,311,15
