wsd,pv,t,rh,slp,BJ
8.0,8000.0,15.9,91.0,1011.7,2023-11-05 16:00:00
9.0,8000.0,14.7,90.0,1013.4,2023-11-05 17:00:00
8.0,8000.0,14.1,93.0,1014.4,2023-11-05 18:00:00
7.0,9000.0,14.1,92.0,1015.9,2023-11-05 19:00:00
8.0,9000.0,14.0,88.0,1017.1,2023-11-05 20:00:00
7.0,9000.0,14.1,84.0,1018.3,2023-11-05 21:00:00
6.0,10000.0,14.0,86.0,1019.0,2023-11-05 22:00:00
5.0,10000.0,13.7,86.0,1019.8,2023-11-05 23:00:00
6.0,10000.0,13.5,88.0,1019.8,2023-11-06 00:00:00
6.0,8000.0,13.3,89.0,1019.9,2023-11-06 01:00:00
7.0,10000.0,12.9,78.0,1020.1,2023-11-06 02:00:00
6.0,10000.0,12.1,68.0,1020.6,2023-11-06 03:00:00
4.0,10000.0,11.2,56.0,1021.0,2023-11-06 04:00:00
6.0,10000.0,10.5,56.0,1021.1,2023-11-06 05:00:00
5.0,10000.0,9.7,58.0,1022.2,2023-11-06 06:00:00
5.0,10000.0,8.9,61.0,1022.8,2023-11-06 07:00:00
6.0,10000.0,10.0,56.0,1023.8,2023-11-06 08:00:00
7.0,10000.0,11.5,50.0,1024.5,2023-11-06 09:00:00
7.0,10000.0,13.0,41.0,1024.6,2023-11-06 10:00:00
8.0,10000.0,13.8,37.0,1024.3,2023-11-06 11:00:00
8.0,10000.0,14.6,33.0,1023.8,2023-11-06 12:00:00
7.0,10000.0,15.1,33.0,1022.8,2023-11-06 13:00:00
7.0,10000.0,15.5,32.0,1022.1,2023-11-06 14:00:00
6.0,10000.0,15.8,30.0,1022.2,2023-11-06 15:00:00
