wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,10000.0,23.8,64.0,1015.0,2024-10-14 16:00:00,288,16
3.0,10000.0,23.4,68.0,1015.4,2024-10-14 17:00:00,288,17
1.0,10000.0,22.1,76.0,1015.6,2024-10-14 18:00:00,288,18
1.0,10000.0,21.5,78.0,1016.1,2024-10-14 19:00:00,288,19
1.0,8000.0,20.4,88.0,1016.7,2024-10-14 20:00:00,288,20
2.0,8000.0,21.4,78.0,1017.3,2024-10-14 21:00:00,288,21
3.0,6000.0,20.8,83.0,1017.3,2024-10-14 22:00:00,288,22
3.0,5000.0,20.3,87.0,1017.6,2024-10-14 23:00:00,288,23
2.0,4000.0,20.0,89.0,1017.5,2024-10-15 00:00:00,289,0
3.0,3500.0,18.9,91.0,1020.8,2024-10-15 01:00:00,289,1
3.0,3500.0,19.7,88.0,1020.5,2024-10-15 02:00:00,289,2
3.0,3200.0,19.4,90.0,1020.2,2024-10-15 03:00:00,289,3
2.0,3000.0,18.8,93.0,1020.3,2024-10-15 04:00:00,289,4
4.0,2800.0,19.3,91.0,1020.0,2024-10-15 05:00:00,289,5
3.0,2800.0,18.9,91.0,1021.0,2024-10-15 06:00:00,289,6
3.0,2000.0,18.7,92.0,1021.7,2024-10-15 07:00:00,289,7
2.0,3000.0,19.7,90.0,1018.5,2024-10-15 08:00:00,289,8
3.0,4000.0,21.9,83.0,1019.4,2024-10-15 09:00:00,289,9
3.0,4500.0,23.2,73.0,1019.7,2024-10-15 10:00:00,289,10
3.0,7000.0,23.7,70.0,1019.7,2024-10-15 11:00:00,289,11
4.0,10000.0,24.3,66.0,1019.4,2024-10-15 12:00:00,289,12
3.0,10000.0,24.8,64.0,1018.8,2024-10-15 13:00:00,289,13
3.0,10000.0,24.8,62.0,1018.3,2024-10-15 14:00:00,289,14
3.0,10000.0,24.7,61.0,1018.3,2024-10-15 15:00:00,289,15
