wsd,pv,t,rh,slp,BJ
6.0,10000.0,13.7,27.0,1025.0,2023-11-23 16:00:00
4.0,10000.0,11.6,34.0,1025.6,2023-11-23 17:00:00
3.0,10000.0,9.8,39.0,1026.5,2023-11-23 18:00:00
3.0,10000.0,8.4,41.0,1027.4,2023-11-23 19:00:00
2.0,10000.0,7.4,42.0,1028.3,2023-11-23 20:00:00
3.0,10000.0,6.7,42.0,1029.0,2023-11-23 21:00:00
2.0,10000.0,5.6,49.0,1029.6,2023-11-23 22:00:00
3.0,10000.0,5.0,46.0,1029.7,2023-11-23 23:00:00
3.0,10000.0,4.2,51.0,1030.1,2023-11-24 00:00:00
3.0,10000.0,3.8,44.0,1030.0,2023-11-24 01:00:00
3.0,10000.0,3.3,42.0,1030.3,2023-11-24 02:00:00
2.0,10000.0,2.0,50.0,1030.5,2023-11-24 03:00:00
3.0,10000.0,1.5,50.0,1030.3,2023-11-24 04:00:00
3.0,10000.0,1.3,52.0,1030.7,2023-11-24 05:00:00
2.0,10000.0,1.3,51.0,1031.5,2023-11-24 06:00:00
2.0,10000.0,0.8,58.0,1032.0,2023-11-24 07:00:00
3.0,10000.0,2.7,47.0,1032.8,2023-11-24 08:00:00
5.0,10000.0,5.0,40.0,1033.7,2023-11-24 09:00:00
4.0,10000.0,6.5,34.0,1034.2,2023-11-24 10:00:00
4.0,10000.0,7.8,29.0,1033.8,2023-11-24 11:00:00
4.0,10000.0,8.9,27.0,1032.9,2023-11-24 12:00:00
4.0,10000.0,9.4,23.0,1032.1,2023-11-24 13:00:00
4.0,10000.0,9.9,24.0,1031.5,2023-11-24 14:00:00
5.0,10000.0,10.1,22.0,1031.2,2023-11-24 15:00:00
