wsd,pv,t,rh,slp,BJ
2.0,2200.0,5.0,83.0,1023.3,2022-01-25 16:00:00
2.0,2400.0,5.0,83.0,1023.9,2022-01-25 17:00:00
1.0,2400.0,4.8,83.0,1024.0,2022-01-25 18:00:00
0.0,2400.0,4.7,85.0,1024.4,2022-01-25 19:00:00
0.0,2400.0,4.6,84.0,1024.9,2022-01-25 20:00:00
1.0,2200.0,4.1,91.0,1025.1,2022-01-25 21:00:00
1.0,1800.0,4.1,92.0,1025.2,2022-01-25 22:00:00
2.0,1800.0,4.0,91.0,1025.2,2022-01-25 23:00:00
2.0,1800.0,4.1,92.0,1025.1,2022-01-26 00:00:00
2.0,1800.0,3.9,93.0,1024.6,2022-01-26 01:00:00
2.0,2500.0,4.1,91.0,1025.0,2022-01-26 02:00:00
2.0,2900.0,4.1,86.0,1024.6,2022-01-26 03:00:00
3.0,3500.0,4.1,86.0,1024.4,2022-01-26 04:00:00
3.0,3500.0,4.1,88.0,1023.9,2022-01-26 05:00:00
3.0,3300.0,4.3,86.0,1024.9,2022-01-26 06:00:00
3.0,2800.0,4.0,87.0,1025.3,2022-01-26 07:00:00
4.0,2000.0,3.7,89.0,1025.2,2022-01-26 08:00:00
4.0,2500.0,3.9,85.0,1025.4,2022-01-26 09:00:00
4.0,3200.0,4.4,79.0,1025.5,2022-01-26 10:00:00
5.0,3200.0,3.8,82.0,1025.4,2022-01-26 11:00:00
5.0,2600.0,2.8,89.0,1025.0,2022-01-26 12:00:00
4.0,1600.0,1.4,94.0,1024.1,2022-01-26 13:00:00
4.0,1800.0,1.5,95.0,1023.4,2022-01-26 14:00:00
5.0,3200.0,2.0,93.0,1023.2,2022-01-26 15:00:00
