wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,1300.0,-2.1,91.0,1033.7,2024-02-23 16:00:00,54,16
3.0,2400.0,-1.9,91.0,1033.6,2024-02-23 17:00:00,54,17
2.0,6000.0,-2.0,87.0,1033.5,2024-02-23 18:00:00,54,18
3.0,7000.0,-1.9,86.0,1033.8,2024-02-23 19:00:00,54,19
2.0,10000.0,-2.0,81.0,1034.5,2024-02-23 20:00:00,54,20
2.0,10000.0,-2.0,79.0,1034.5,2024-02-23 21:00:00,54,21
2.0,10000.0,-1.9,81.0,1034.3,2024-02-23 22:00:00,54,22
2.0,10000.0,-1.9,80.0,1034.3,2024-02-23 23:00:00,54,23
2.0,10000.0,-1.7,80.0,1034.3,2024-02-24 00:00:00,55,0
2.0,10000.0,-1.7,85.0,1033.8,2024-02-24 01:00:00,55,1
3.0,7000.0,-2.1,85.0,1032.6,2024-02-24 02:00:00,55,2
2.0,8000.0,-2.2,88.0,1032.7,2024-02-24 03:00:00,55,3
3.0,5000.0,-2.4,91.0,1032.5,2024-02-24 04:00:00,55,4
3.0,3000.0,-2.6,93.0,1032.4,2024-02-24 05:00:00,55,5
3.0,2500.0,-2.6,94.0,1032.3,2024-02-24 06:00:00,55,6
4.0,2800.0,-2.8,93.0,1032.4,2024-02-24 07:00:00,55,7
3.0,3300.0,-2.8,92.0,1032.8,2024-02-24 08:00:00,55,8
4.0,3500.0,-2.5,90.0,1033.4,2024-02-24 09:00:00,55,9
4.0,4500.0,-2.1,86.0,1033.0,2024-02-24 10:00:00,55,10
4.0,6000.0,-2.0,86.0,1033.1,2024-02-24 11:00:00,55,11
4.0,7000.0,-1.9,82.0,1032.6,2024-02-24 12:00:00,55,12
4.0,8000.0,-1.6,82.0,1031.9,2024-02-24 13:00:00,55,13
4.0,8000.0,-1.6,80.0,1031.0,2024-02-24 14:00:00,55,14
4.0,6000.0,-1.5,82.0,1031.1,2024-02-24 15:00:00,55,15
