wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,10000.0,11.0,25.0,1029.5,2022-02-24 16:00:00,55,16
3.0,10000.0,10.6,25.0,1029.3,2022-02-24 17:00:00,55,17
3.0,10000.0,8.7,35.0,1029.6,2022-02-24 18:00:00,55,18
4.0,10000.0,6.1,51.0,1029.9,2022-02-24 19:00:00,55,19
3.0,10000.0,5.3,52.0,1030.0,2022-02-24 20:00:00,55,20
3.0,10000.0,5.0,54.0,1030.0,2022-02-24 21:00:00,55,21
2.0,8000.0,3.7,61.0,1030.0,2022-02-24 22:00:00,55,22
2.0,8000.0,4.3,58.0,1029.7,2022-02-24 23:00:00,55,23
2.0,8000.0,2.2,69.0,1029.5,2022-02-25 00:00:00,56,0
2.0,8000.0,2.6,68.0,1029.5,2022-02-25 01:00:00,56,1
2.0,8000.0,1.8,69.0,1029.0,2022-02-25 02:00:00,56,2
1.0,7000.0,1.4,70.0,1028.2,2022-02-25 03:00:00,56,3
2.0,6000.0,1.2,71.0,1027.7,2022-02-25 04:00:00,56,4
1.0,6000.0,0.2,84.0,1027.7,2022-02-25 05:00:00,56,5
0.0,6000.0,-0.1,79.0,1028.0,2022-02-25 06:00:00,56,6
2.0,6000.0,0.7,75.0,1028.4,2022-02-25 07:00:00,56,7
3.0,6000.0,2.4,76.0,1028.8,2022-02-25 08:00:00,56,8
5.0,7000.0,6.2,63.0,1029.3,2022-02-25 09:00:00,56,9
3.0,8000.0,8.7,51.0,1028.9,2022-02-25 10:00:00,56,10
2.0,8000.0,11.1,41.0,1028.5,2022-02-25 11:00:00,56,11
2.0,7000.0,12.3,39.0,1027.7,2022-02-25 12:00:00,56,12
2.0,6000.0,13.3,36.0,1026.3,2022-02-25 13:00:00,56,13
2.0,6000.0,14.1,34.0,1025.1,2022-02-25 14:00:00,56,14
2.0,6000.0,13.8,33.0,1024.1,2022-02-25 15:00:00,56,15
