wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,10000.0,21.1,25.0,1013.8,2022-03-03 16:00:00,62,16
4.0,9000.0,20.6,27.0,1013.3,2022-03-03 17:00:00,62,17
3.0,9000.0,18.6,31.0,1013.4,2022-03-03 18:00:00,62,18
2.0,9000.0,17.2,33.0,1013.7,2022-03-03 19:00:00,62,19
2.0,9000.0,16.9,34.0,1013.8,2022-03-03 20:00:00,62,20
2.0,7000.0,14.8,48.0,1014.4,2022-03-03 21:00:00,62,21
2.0,6000.0,15.8,50.0,1015.2,2022-03-03 22:00:00,62,22
5.0,6000.0,13.6,73.0,1015.4,2022-03-03 23:00:00,62,23
5.0,7000.0,14.4,61.0,1015.2,2022-03-04 00:00:00,63,0
6.0,7000.0,13.1,71.0,1015.1,2022-03-04 01:00:00,63,1
2.0,7000.0,12.9,73.0,1015.3,2022-03-04 02:00:00,63,2
3.0,7000.0,12.4,77.0,1014.9,2022-03-04 03:00:00,63,3
3.0,6000.0,10.5,85.0,1013.9,2022-03-04 04:00:00,63,4
2.0,5000.0,9.0,92.0,1013.9,2022-03-04 05:00:00,63,5
4.0,5000.0,10.7,91.0,1014.1,2022-03-04 06:00:00,63,6
2.0,3200.0,9.8,94.0,1015.3,2022-03-04 07:00:00,63,7
2.0,3500.0,12.4,89.0,1016.7,2022-03-04 08:00:00,63,8
4.0,8000.0,14.9,69.0,1016.9,2022-03-04 09:00:00,63,9
4.0,10000.0,16.9,57.0,1017.0,2022-03-04 10:00:00,63,10
6.0,10000.0,19.3,48.0,1016.7,2022-03-04 11:00:00,63,11
6.0,10000.0,21.2,41.0,1016.2,2022-03-04 12:00:00,63,12
5.0,10000.0,22.6,35.0,1014.8,2022-03-04 13:00:00,63,13
6.0,10000.0,23.0,26.0,1013.9,2022-03-04 14:00:00,63,14
6.0,10000.0,23.2,24.0,1013.7,2022-03-04 15:00:00,63,15
