wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
9.0,10000.0,23.4,22.0,1007.9,2024-03-21 16:00:00,81,16
11.0,10000.0,22.3,24.0,1007.1,2024-03-21 17:00:00,81,17
9.0,10000.0,20.8,25.0,1006.7,2024-03-21 18:00:00,81,18
7.0,10000.0,18.5,33.0,1007.0,2024-03-21 19:00:00,81,19
7.0,10000.0,17.5,39.0,1007.4,2024-03-21 20:00:00,81,20
8.0,10000.0,17.0,47.0,1007.5,2024-03-21 21:00:00,81,21
8.0,10000.0,16.2,52.0,1007.9,2024-03-21 22:00:00,81,22
6.0,10000.0,15.6,55.0,1007.9,2024-03-21 23:00:00,81,23
6.0,10000.0,15.2,56.0,1007.6,2024-03-22 00:00:00,82,0
5.0,10000.0,13.0,66.0,1007.3,2024-03-22 01:00:00,82,1
4.0,10000.0,12.6,65.0,1006.6,2024-03-22 02:00:00,82,2
3.0,10000.0,12.0,67.0,1005.9,2024-03-22 03:00:00,82,3
3.0,10000.0,11.9,69.0,1005.6,2024-03-22 04:00:00,82,4
4.0,10000.0,11.3,75.0,1005.4,2024-03-22 05:00:00,82,5
4.0,10000.0,11.0,78.0,1005.5,2024-03-22 06:00:00,82,6
3.0,10000.0,12.9,73.0,1006.4,2024-03-22 07:00:00,82,7
5.0,10000.0,16.2,61.0,1006.3,2024-03-22 08:00:00,82,8
5.0,10000.0,18.9,54.0,1006.7,2024-03-22 09:00:00,82,9
5.0,10000.0,21.4,48.0,1007.2,2024-03-22 10:00:00,82,10
5.0,10000.0,23.3,45.0,1007.3,2024-03-22 11:00:00,82,11
3.0,10000.0,24.3,42.0,1006.8,2024-03-22 12:00:00,82,12
4.0,10000.0,25.4,40.0,1006.1,2024-03-22 13:00:00,82,13
3.0,10000.0,26.0,41.0,1005.0,2024-03-22 14:00:00,82,14
1.0,10000.0,27.2,36.0,1004.3,2024-03-22 15:00:00,82,15
