wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,10000.0,22.5,41.0,1021.0,2022-11-08 16:00:00,312,16
3.0,10000.0,20.8,45.0,1020.9,2022-11-08 17:00:00,312,17
3.0,10000.0,18.7,53.0,1021.0,2022-11-08 18:00:00,312,18
3.0,10000.0,18.1,55.0,1021.3,2022-11-08 19:00:00,312,19
3.0,10000.0,16.5,60.0,1021.4,2022-11-08 20:00:00,312,20
4.0,8000.0,16.1,66.0,1021.6,2022-11-08 21:00:00,312,21
3.0,8000.0,15.3,73.0,1021.7,2022-11-08 22:00:00,312,22
3.0,6000.0,15.1,79.0,1021.6,2022-11-08 23:00:00,312,23
3.0,5000.0,15.0,81.0,1021.5,2022-11-09 00:00:00,313,0
3.0,4000.0,15.2,82.0,1021.2,2022-11-09 01:00:00,313,1
3.0,4000.0,15.2,82.0,1020.8,2022-11-09 02:00:00,313,2
3.0,4000.0,15.0,83.0,1020.4,2022-11-09 03:00:00,313,3
3.0,4000.0,14.7,83.0,1020.2,2022-11-09 04:00:00,313,4
2.0,4000.0,14.5,82.0,1020.2,2022-11-09 05:00:00,313,5
2.0,4000.0,14.0,84.0,1020.4,2022-11-09 06:00:00,313,6
2.0,4000.0,13.5,87.0,1020.5,2022-11-09 07:00:00,313,7
2.0,4000.0,14.1,86.0,1021.1,2022-11-09 08:00:00,313,8
2.0,5000.0,16.2,76.0,1021.5,2022-11-09 09:00:00,313,9
2.0,6000.0,19.2,66.0,1021.2,2022-11-09 10:00:00,313,10
2.0,6000.0,21.0,59.0,1020.5,2022-11-09 11:00:00,313,11
3.0,7000.0,22.5,52.0,1019.7,2022-11-09 12:00:00,313,12
2.0,8000.0,24.3,47.0,1018.7,2022-11-09 13:00:00,313,13
1.0,10000.0,24.5,45.0,1018.1,2022-11-09 14:00:00,313,14
2.0,10000.0,24.9,45.0,1017.8,2022-11-09 15:00:00,313,15
