wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
4.0,10000.0,21.8,33.0,1011.6,2023-12-07 16:00:00,341,16
6.0,10000.0,17.7,42.0,1011.6,2023-12-07 17:00:00,341,17
4.0,10000.0,14.9,50.0,1011.9,2023-12-07 18:00:00,341,18
6.0,10000.0,14.6,53.0,1012.3,2023-12-07 19:00:00,341,19
6.0,10000.0,13.2,57.0,1012.6,2023-12-07 20:00:00,341,20
6.0,10000.0,13.4,54.0,1012.7,2023-12-07 21:00:00,341,21
6.0,10000.0,11.4,60.0,1012.6,2023-12-07 22:00:00,341,22
5.0,10000.0,9.7,69.0,1012.4,2023-12-07 23:00:00,341,23
5.0,10000.0,9.9,70.0,1012.4,2023-12-08 00:00:00,342,0
5.0,10000.0,9.8,71.0,1012.3,2023-12-08 01:00:00,342,1
4.0,8000.0,8.3,80.0,1012.3,2023-12-08 02:00:00,342,2
4.0,7000.0,8.2,80.0,1012.0,2023-12-08 03:00:00,342,3
4.0,6000.0,8.3,78.0,1011.7,2023-12-08 04:00:00,342,4
5.0,6000.0,7.3,86.0,1011.9,2023-12-08 05:00:00,342,5
4.0,6000.0,7.7,84.0,1012.0,2023-12-08 06:00:00,342,6
5.0,5000.0,7.8,85.0,1012.5,2023-12-08 07:00:00,342,7
4.0,6000.0,10.3,76.0,1012.9,2023-12-08 08:00:00,342,8
4.0,8000.0,14.5,58.0,1013.4,2023-12-08 09:00:00,342,9
4.0,10000.0,17.2,49.0,1013.6,2023-12-08 10:00:00,342,10
5.0,10000.0,20.7,32.0,1013.1,2023-12-08 11:00:00,342,11
5.0,10000.0,22.7,26.0,1012.1,2023-12-08 12:00:00,342,12
4.0,10000.0,23.0,28.0,1011.0,2023-12-08 13:00:00,342,13
4.0,10000.0,24.0,25.0,1010.3,2023-12-08 14:00:00,342,14
4.0,10000.0,23.7,25.0,1010.2,2023-12-08 15:00:00,342,15
