wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,10000.0,7.9,31.0,1030.3,2022-02-21 16:00:00,52,16
3.0,10000.0,7.7,35.0,1030.4,2022-02-21 17:00:00,52,17
2.0,10000.0,6.9,40.0,1030.9,2022-02-21 18:00:00,52,18
4.0,10000.0,3.8,55.0,1031.3,2022-02-21 19:00:00,52,19
4.0,10000.0,3.4,54.0,1031.5,2022-02-21 20:00:00,52,20
3.0,10000.0,2.5,57.0,1031.4,2022-02-21 21:00:00,52,21
3.0,10000.0,1.6,62.0,1032.3,2022-02-21 22:00:00,52,22
3.0,10000.0,0.9,65.0,1032.2,2022-02-21 23:00:00,52,23
3.0,10000.0,1.6,58.0,1032.2,2022-02-22 00:00:00,53,0
3.0,10000.0,0.8,64.0,1031.8,2022-02-22 01:00:00,53,1
3.0,10000.0,-0.1,71.0,1031.6,2022-02-22 02:00:00,53,2
1.0,10000.0,0.2,76.0,1031.7,2022-02-22 03:00:00,53,3
1.0,10000.0,-0.4,86.0,1031.7,2022-02-22 04:00:00,53,4
1.0,10000.0,0.8,75.0,1032.4,2022-02-22 05:00:00,53,5
1.0,10000.0,0.2,86.0,1032.0,2022-02-22 06:00:00,53,6
0.0,10000.0,0.0,83.0,1032.9,2022-02-22 07:00:00,53,7
1.0,10000.0,1.9,75.0,1034.4,2022-02-22 08:00:00,53,8
1.0,10000.0,4.0,64.0,1034.7,2022-02-22 09:00:00,53,9
1.0,10000.0,6.3,48.0,1034.7,2022-02-22 10:00:00,53,10
2.0,10000.0,7.2,40.0,1034.2,2022-02-22 11:00:00,53,11
4.0,10000.0,8.3,41.0,1033.8,2022-02-22 12:00:00,53,12
3.0,10000.0,8.1,41.0,1032.6,2022-02-22 13:00:00,53,13
3.0,10000.0,8.8,43.0,1032.0,2022-02-22 14:00:00,53,14
3.0,10000.0,8.6,42.0,1031.8,2022-02-22 15:00:00,53,15
