wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,10000.0,7.6,46.0,1024.0,2024-12-09 16:00:00,344,16
2.0,10000.0,7.4,50.0,1024.3,2024-12-09 17:00:00,344,17
2.0,10000.0,7.1,53.0,1024.4,2024-12-09 18:00:00,344,18
2.0,10000.0,6.9,55.0,1024.6,2024-12-09 19:00:00,344,19
2.0,10000.0,6.5,60.0,1024.7,2024-12-09 20:00:00,344,20
3.0,10000.0,6.7,58.0,1025.1,2024-12-09 21:00:00,344,21
2.0,10000.0,6.3,60.0,1025.3,2024-12-09 22:00:00,344,22
3.0,10000.0,6.0,62.0,1025.3,2024-12-09 23:00:00,344,23
3.0,10000.0,5.8,63.0,1025.3,2024-12-10 00:00:00,345,0
3.0,3500.0,3.3,91.0,1027.9,2024-12-10 01:00:00,345,1
3.0,2800.0,3.2,94.0,1028.0,2024-12-10 02:00:00,345,2
3.0,2800.0,3.2,95.0,1028.1,2024-12-10 03:00:00,345,3
2.0,3000.0,3.3,94.0,1027.8,2024-12-10 04:00:00,345,4
3.0,3000.0,3.4,93.0,1027.9,2024-12-10 05:00:00,345,5
2.0,3000.0,3.5,93.0,1027.9,2024-12-10 06:00:00,345,6
3.0,3000.0,3.7,91.0,1028.7,2024-12-10 07:00:00,345,7
3.0,10000.0,5.0,58.0,1024.7,2024-12-10 08:00:00,345,8
4.0,10000.0,5.4,55.0,1024.8,2024-12-10 09:00:00,345,9
3.0,10000.0,6.1,53.0,1025.3,2024-12-10 10:00:00,345,10
3.0,10000.0,6.5,51.0,1025.0,2024-12-10 11:00:00,345,11
3.0,10000.0,6.4,60.0,1024.6,2024-12-10 12:00:00,345,12
2.0,10000.0,6.5,65.0,1023.7,2024-12-10 13:00:00,345,13
3.0,10000.0,6.3,65.0,1023.3,2024-12-10 14:00:00,345,14
3.0,10000.0,5.9,68.0,1023.4,2024-12-10 15:00:00,345,15
