wsd,pv,t,rh,slp,BJ
6.0,10000.0,13.7,24.0,1021.6,2021-12-02 16:00:00
3.0,10000.0,11.5,28.0,1022.0,2021-12-02 17:00:00
3.0,10000.0,9.8,33.0,1022.5,2021-12-02 18:00:00
3.0,10000.0,10.3,32.0,1022.6,2021-12-02 19:00:00
3.0,10000.0,8.9,36.0,1022.8,2021-12-02 20:00:00
4.0,10000.0,9.5,35.0,1023.3,2021-12-02 21:00:00
3.0,10000.0,6.4,48.0,1023.9,2021-12-02 22:00:00
3.0,10000.0,6.4,48.0,1024.1,2021-12-02 23:00:00
3.0,10000.0,6.4,49.0,1024.1,2021-12-03 00:00:00
4.0,10000.0,5.8,53.0,1023.8,2021-12-03 01:00:00
3.0,10000.0,5.7,54.0,1024.0,2021-12-03 02:00:00
3.0,10000.0,4.8,56.0,1023.9,2021-12-03 03:00:00
3.0,10000.0,4.7,56.0,1024.1,2021-12-03 04:00:00
3.0,10000.0,4.0,56.0,1024.0,2021-12-03 05:00:00
3.0,10000.0,6.1,45.0,1023.8,2021-12-03 06:00:00
3.0,10000.0,3.6,57.0,1024.6,2021-12-03 07:00:00
4.0,10000.0,5.5,54.0,1025.4,2021-12-03 08:00:00
5.0,10000.0,8.5,45.0,1026.1,2021-12-03 09:00:00
5.0,10000.0,11.3,34.0,1026.4,2021-12-03 10:00:00
5.0,10000.0,12.6,30.0,1026.4,2021-12-03 11:00:00
4.0,10000.0,14.0,26.0,1025.8,2021-12-03 12:00:00
5.0,10000.0,14.9,23.0,1025.1,2021-12-03 13:00:00
5.0,10000.0,15.0,21.0,1024.7,2021-12-03 14:00:00
5.0,10000.0,15.0,19.0,1024.9,2021-12-03 15:00:00
