wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
6.0,1600.0,7.2,93.0,1013.7,2024-03-05 16:00:00,65,16
5.0,1800.0,7.2,93.0,1014.3,2024-03-05 17:00:00,65,17
4.0,800.0,6.9,96.0,1015.1,2024-03-05 18:00:00,65,18
4.0,800.0,6.9,97.0,1016.2,2024-03-05 19:00:00,65,19
4.0,800.0,7.0,97.0,1017.3,2024-03-05 20:00:00,65,20
4.0,1400.0,7.1,97.0,1018.3,2024-03-05 21:00:00,65,21
4.0,1800.0,7.1,97.0,1019.0,2024-03-05 22:00:00,65,22
3.0,4500.0,7.0,96.0,1019.4,2024-03-05 23:00:00,65,23
4.0,7000.0,6.9,94.0,1020.3,2024-03-06 00:00:00,66,0
4.0,5000.0,6.7,94.0,1021.0,2024-03-06 01:00:00,66,1
3.0,5000.0,6.6,92.0,1020.8,2024-03-06 02:00:00,66,2
3.0,4000.0,6.4,93.0,1020.5,2024-03-06 03:00:00,66,3
2.0,4000.0,6.3,94.0,1020.6,2024-03-06 04:00:00,66,4
2.0,4500.0,6.3,94.0,1021.1,2024-03-06 05:00:00,66,5
2.0,3000.0,6.4,96.0,1021.7,2024-03-06 06:00:00,66,6
2.0,1800.0,6.6,96.0,1022.6,2024-03-06 07:00:00,66,7
3.0,1500.0,6.7,95.0,1023.3,2024-03-06 08:00:00,66,8
3.0,1500.0,7.0,94.0,1023.5,2024-03-06 09:00:00,66,9
2.0,2400.0,7.3,89.0,1023.7,2024-03-06 10:00:00,66,10
3.0,3200.0,8.0,83.0,1024.1,2024-03-06 11:00:00,66,11
3.0,4500.0,8.3,79.0,1023.8,2024-03-06 12:00:00,66,12
4.0,4000.0,8.8,76.0,1023.3,2024-03-06 13:00:00,66,13
3.0,5000.0,8.8,74.0,1022.4,2024-03-06 14:00:00,66,14
3.0,5000.0,9.0,70.0,1022.2,2024-03-06 15:00:00,66,15
