wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,6000.0,21.4,49.0,1015.6,2024-03-16 16:00:00,76,16
2.0,8000.0,20.9,51.0,1015.4,2024-03-16 17:00:00,76,17
2.0,8000.0,20.1,53.0,1015.7,2024-03-16 18:00:00,76,18
3.0,6000.0,18.8,61.0,1016.2,2024-03-16 19:00:00,76,19
2.0,6000.0,17.3,73.0,1017.0,2024-03-16 20:00:00,76,20
1.0,5000.0,17.6,70.0,1018.1,2024-03-16 21:00:00,76,21
2.0,5000.0,17.4,70.0,1018.7,2024-03-16 22:00:00,76,22
2.0,5000.0,17.0,73.0,1018.8,2024-03-16 23:00:00,76,23
3.0,5000.0,16.9,69.0,1018.2,2024-03-17 00:00:00,77,0
2.0,4500.0,16.3,75.0,1018.7,2024-03-17 01:00:00,77,1
2.0,4000.0,16.0,79.0,1019.1,2024-03-17 02:00:00,77,2
3.0,2800.0,15.5,83.0,1018.3,2024-03-17 03:00:00,77,3
1.0,3000.0,14.5,92.0,1018.6,2024-03-17 04:00:00,77,4
1.0,2800.0,14.6,91.0,1019.2,2024-03-17 05:00:00,77,5
2.0,2800.0,14.4,93.0,1019.9,2024-03-17 06:00:00,77,6
1.0,2000.0,14.0,95.0,1020.9,2024-03-17 07:00:00,77,7
2.0,1600.0,14.0,95.0,1022.1,2024-03-17 08:00:00,77,8
6.0,2600.0,14.4,84.0,1022.9,2024-03-17 09:00:00,77,9
8.0,3200.0,13.1,78.0,1024.0,2024-03-17 10:00:00,77,10
7.0,9000.0,11.9,68.0,1024.8,2024-03-17 11:00:00,77,11
5.0,10000.0,11.1,62.0,1024.9,2024-03-17 12:00:00,77,12
4.0,10000.0,11.4,64.0,1024.3,2024-03-17 13:00:00,77,13
5.0,10000.0,11.5,59.0,1024.0,2024-03-17 14:00:00,77,14
5.0,10000.0,11.4,55.0,1023.7,2024-03-17 15:00:00,77,15
