wsd,pv,t,rh,slp,BJ
3.0,10000.0,9.7,77.0,1026.6,2022-11-13 16:00:00
3.0,10000.0,9.6,78.0,1026.7,2022-11-13 17:00:00
3.0,10000.0,9.3,82.0,1026.9,2022-11-13 18:00:00
2.0,6000.0,8.8,86.0,1026.9,2022-11-13 19:00:00
2.0,6000.0,8.9,86.0,1027.1,2022-11-13 20:00:00
2.0,7000.0,8.8,81.0,1027.2,2022-11-13 21:00:00
2.0,7000.0,8.5,85.0,1027.3,2022-11-13 22:00:00
2.0,5000.0,8.2,89.0,1027.5,2022-11-13 23:00:00
1.0,5000.0,8.3,89.0,1027.4,2022-11-14 00:00:00
2.0,5000.0,8.0,91.0,1027.4,2022-11-14 01:00:00
1.0,5000.0,8.0,90.0,1027.3,2022-11-14 02:00:00
1.0,4500.0,8.1,91.0,1026.6,2022-11-14 03:00:00
0.0,4000.0,7.9,92.0,1025.8,2022-11-14 04:00:00
1.0,4000.0,8.0,94.0,1026.0,2022-11-14 05:00:00
1.0,4000.0,8.0,91.0,1025.7,2022-11-14 06:00:00
1.0,4000.0,7.9,91.0,1025.8,2022-11-14 07:00:00
2.0,4000.0,8.2,90.0,1026.3,2022-11-14 08:00:00
1.0,3200.0,8.2,92.0,1026.3,2022-11-14 09:00:00
2.0,2200.0,8.3,94.0,1026.4,2022-11-14 10:00:00
2.0,3200.0,8.0,94.0,1025.7,2022-11-14 11:00:00
2.0,3200.0,8.3,93.0,1025.0,2022-11-14 12:00:00
1.0,3500.0,8.5,90.0,1023.5,2022-11-14 13:00:00
1.0,5000.0,9.0,85.0,1022.7,2022-11-14 14:00:00
2.0,5000.0,9.1,82.0,1022.9,2022-11-14 15:00:00
