wsd,pv,t,rh,slp,BJ
2.0,3000.0,20.5,83.0,1014.4,2024-11-15 16:00:00
1.0,2800.0,20.5,82.0,1014.6,2024-11-15 17:00:00
1.0,2800.0,19.9,86.0,1015.2,2024-11-15 18:00:00
2.0,3500.0,19.9,86.0,1015.9,2024-11-15 19:00:00
2.0,4000.0,19.5,85.0,1016.1,2024-11-15 20:00:00
2.0,4000.0,19.1,86.0,1016.5,2024-11-15 21:00:00
2.0,4000.0,18.8,87.0,1016.6,2024-11-15 22:00:00
2.0,4000.0,18.0,90.0,1016.6,2024-11-15 23:00:00
1.0,3500.0,16.7,91.0,1016.6,2024-11-16 00:00:00
10.0,5000.0,13.9,93.0,1023.5,2024-11-16 01:00:00
9.0,4000.0,12.9,93.0,1024.4,2024-11-16 02:00:00
9.0,5000.0,12.1,90.0,1025.7,2024-11-16 03:00:00
6.0,4500.0,11.2,92.0,1026.0,2024-11-16 04:00:00
4.0,5000.0,11.6,88.0,1027.1,2024-11-16 05:00:00
4.0,10000.0,11.4,79.0,1027.9,2024-11-16 06:00:00
6.0,10000.0,10.8,77.0,1028.6,2024-11-16 07:00:00
3.0,2200.0,17.4,94.0,1017.9,2024-11-16 08:00:00
2.0,2400.0,17.8,92.0,1019.0,2024-11-16 09:00:00
2.0,2800.0,18.5,90.0,1019.5,2024-11-16 10:00:00
2.0,3200.0,19.3,87.0,1019.1,2024-11-16 11:00:00
1.0,3500.0,19.6,85.0,1018.7,2024-11-16 12:00:00
3.0,2500.0,18.9,91.0,1017.9,2024-11-16 13:00:00
3.0,1000.0,17.9,97.0,1017.4,2024-11-16 14:00:00
3.0,1000.0,17.5,97.0,1017.2,2024-11-16 15:00:00
