wsd,pv,t,rh,slp,BJ
4.0,10000.0,38.1,35.0,1007.5,2022-10-02 16:00:00
4.0,10000.0,36.8,38.0,1007.8,2022-10-02 17:00:00
5.0,10000.0,35.1,42.0,1008.0,2022-10-02 18:00:00
5.0,10000.0,34.0,44.0,1008.4,2022-10-02 19:00:00
5.0,10000.0,33.7,45.0,1009.1,2022-10-02 20:00:00
4.0,10000.0,32.6,48.0,1009.7,2022-10-02 21:00:00
5.0,10000.0,31.9,50.0,1009.7,2022-10-02 22:00:00
4.0,10000.0,31.0,53.0,1009.8,2022-10-02 23:00:00
3.0,10000.0,30.3,55.0,1009.6,2022-10-03 00:00:00
3.0,10000.0,29.4,57.0,1009.6,2022-10-03 01:00:00
2.0,10000.0,27.8,63.0,1009.4,2022-10-03 02:00:00
2.0,10000.0,28.0,63.0,1009.0,2022-10-03 03:00:00
3.0,10000.0,28.3,62.0,1009.0,2022-10-03 04:00:00
2.0,10000.0,27.2,66.0,1009.3,2022-10-03 05:00:00
3.0,10000.0,26.5,69.0,1009.8,2022-10-03 06:00:00
2.0,10000.0,28.9,61.0,1010.4,2022-10-03 07:00:00
3.0,10000.0,31.5,54.0,1011.2,2022-10-03 08:00:00
4.0,10000.0,34.6,45.0,1011.2,2022-10-03 09:00:00
6.0,10000.0,36.3,40.0,1011.1,2022-10-03 10:00:00
6.0,10000.0,37.3,37.0,1010.6,2022-10-03 11:00:00
5.0,10000.0,38.1,34.0,1009.9,2022-10-03 12:00:00
6.0,10000.0,39.5,31.0,1009.0,2022-10-03 13:00:00
5.0,10000.0,39.7,31.0,1008.4,2022-10-03 14:00:00
3.0,10000.0,39.7,33.0,1008.1,2022-10-03 15:00:00
