wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
7.0,10000.0,12.3,38.0,1029.7,2023-11-16 16:00:00,320,16
3.0,10000.0,11.1,43.0,1029.4,2023-11-16 17:00:00,320,17
4.0,10000.0,10.1,46.0,1029.6,2023-11-16 18:00:00,320,18
3.0,10000.0,8.8,53.0,1029.8,2023-11-16 19:00:00,320,19
4.0,10000.0,8.0,57.0,1029.6,2023-11-16 20:00:00,320,20
4.0,10000.0,7.3,60.0,1029.4,2023-11-16 21:00:00,320,21
3.0,10000.0,6.7,62.0,1029.6,2023-11-16 22:00:00,320,22
3.0,10000.0,6.5,60.0,1029.5,2023-11-16 23:00:00,320,23
3.0,10000.0,6.3,60.0,1028.9,2023-11-17 00:00:00,321,0
2.0,10000.0,5.6,66.0,1028.5,2023-11-17 01:00:00,321,1
2.0,10000.0,5.4,67.0,1028.0,2023-11-17 02:00:00,321,2
4.0,10000.0,5.8,63.0,1027.3,2023-11-17 03:00:00,321,3
3.0,10000.0,4.8,67.0,1026.8,2023-11-17 04:00:00,321,4
2.0,10000.0,4.1,71.0,1026.6,2023-11-17 05:00:00,321,5
2.0,10000.0,4.2,70.0,1026.8,2023-11-17 06:00:00,321,6
2.0,10000.0,3.6,74.0,1026.7,2023-11-17 07:00:00,321,7
3.0,10000.0,6.8,59.0,1027.1,2023-11-17 08:00:00,321,8
4.0,10000.0,9.7,50.0,1027.6,2023-11-17 09:00:00,321,9
8.0,10000.0,12.9,39.0,1027.6,2023-11-17 10:00:00,321,10
7.0,10000.0,14.4,38.0,1027.3,2023-11-17 11:00:00,321,11
6.0,10000.0,15.1,30.0,1026.9,2023-11-17 12:00:00,321,12
6.0,10000.0,15.0,33.0,1026.3,2023-11-17 13:00:00,321,13
5.0,10000.0,15.4,30.0,1026.2,2023-11-17 14:00:00,321,14
5.0,10000.0,15.1,30.0,1026.0,2023-11-17 15:00:00,321,15
