wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,30000.0,31.3,38.0,1008.6,2021-10-01 16:00:00,274,16
2.0,30000.0,30.3,41.0,1008.9,2021-10-01 17:00:00,274,17
1.0,30000.0,28.1,45.0,1008.9,2021-10-01 18:00:00,274,18
1.0,20000.0,25.4,57.0,1009.0,2021-10-01 19:00:00,274,19
2.0,10000.0,25.6,58.0,1009.8,2021-10-01 20:00:00,274,20
2.0,10000.0,24.2,71.0,1010.4,2021-10-01 21:00:00,274,21
1.0,10000.0,22.9,86.0,1010.6,2021-10-01 22:00:00,274,22
1.0,10000.0,22.8,87.0,1010.9,2021-10-01 23:00:00,274,23
2.0,10000.0,22.5,91.0,1011.2,2021-10-02 00:00:00,275,0
3.0,10000.0,22.6,88.0,1010.7,2021-10-02 01:00:00,275,1
2.0,10000.0,22.6,87.0,1010.4,2021-10-02 02:00:00,275,2
0.0,10000.0,22.0,87.0,1010.5,2021-10-02 03:00:00,275,3
2.0,10000.0,21.9,90.0,1010.2,2021-10-02 04:00:00,275,4
1.0,10000.0,22.2,88.0,1010.7,2021-10-02 05:00:00,275,5
2.0,10000.0,21.3,92.0,1011.2,2021-10-02 06:00:00,275,6
2.0,10000.0,21.6,94.0,1011.6,2021-10-02 07:00:00,275,7
2.0,10000.0,25.5,77.0,1011.8,2021-10-02 08:00:00,275,8
4.0,10000.0,27.1,68.0,1012.1,2021-10-02 09:00:00,275,9
6.0,10000.0,29.0,59.0,1012.0,2021-10-02 10:00:00,275,10
6.0,10000.0,30.7,51.0,1011.7,2021-10-02 11:00:00,275,11
6.0,10000.0,31.7,47.0,1010.8,2021-10-02 12:00:00,275,12
5.0,10000.0,32.6,45.0,1009.9,2021-10-02 13:00:00,275,13
4.0,10000.0,32.9,40.0,1009.2,2021-10-02 14:00:00,275,14
6.0,10000.0,32.8,37.0,1008.6,2021-10-02 15:00:00,275,15
