wsd,pv,t,rh,slp,BJ
3.0,10000.0,17.3,23.0,1017.6,2021-12-20 16:00:00
2.0,10000.0,14.7,31.0,1017.7,2021-12-20 17:00:00
0.0,10000.0,13.5,31.0,1018.0,2021-12-20 18:00:00
2.0,10000.0,10.7,44.0,1018.1,2021-12-20 19:00:00
3.0,10000.0,11.1,42.0,1018.3,2021-12-20 20:00:00
3.0,10000.0,10.7,43.0,1018.5,2021-12-20 21:00:00
2.0,10000.0,7.5,56.0,1018.8,2021-12-20 22:00:00
3.0,10000.0,7.4,57.0,1019.0,2021-12-20 23:00:00
0.0,8000.0,4.1,88.0,1019.1,2021-12-21 00:00:00
1.0,10000.0,5.7,70.0,1018.9,2021-12-21 01:00:00
2.0,10000.0,5.1,71.0,1018.8,2021-12-21 02:00:00
2.0,10000.0,5.0,72.0,1018.6,2021-12-21 03:00:00
3.0,10000.0,3.6,79.0,1018.3,2021-12-21 04:00:00
2.0,10000.0,4.0,76.0,1018.4,2021-12-21 05:00:00
4.0,10000.0,2.9,81.0,1018.6,2021-12-21 06:00:00
3.0,10000.0,3.2,81.0,1019.2,2021-12-21 07:00:00
4.0,10000.0,4.8,81.0,1019.8,2021-12-21 08:00:00
3.0,10000.0,8.9,68.0,1020.3,2021-12-21 09:00:00
2.0,10000.0,12.6,45.0,1020.8,2021-12-21 10:00:00
2.0,10000.0,15.5,32.0,1020.5,2021-12-21 11:00:00
3.0,10000.0,17.0,28.0,1019.3,2021-12-21 12:00:00
3.0,10000.0,17.4,29.0,1018.2,2021-12-21 13:00:00
2.0,10000.0,18.0,26.0,1017.8,2021-12-21 14:00:00
3.0,10000.0,17.7,27.0,1017.7,2021-12-21 15:00:00
