wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,10000.0,19.2,28.0,1012.4,2024-12-01 16:00:00,336,16
0.0,10000.0,17.2,32.0,1012.5,2024-12-01 17:00:00,336,17
0.0,10000.0,15.7,35.0,1012.7,2024-12-01 18:00:00,336,18
1.0,10000.0,12.2,47.0,1013.3,2024-12-01 19:00:00,336,19
0.0,10000.0,11.5,50.0,1013.7,2024-12-01 20:00:00,336,20
1.0,10000.0,8.8,72.0,1014.2,2024-12-01 21:00:00,336,21
1.0,10000.0,9.8,60.0,1014.7,2024-12-01 22:00:00,336,22
2.0,10000.0,9.2,64.0,1015.0,2024-12-01 23:00:00,336,23
2.0,10000.0,8.0,69.0,1015.3,2024-12-02 00:00:00,337,0
3.0,2000.0,7.4,89.0,1022.7,2024-12-02 01:00:00,337,1
2.0,1400.0,7.1,94.0,1023.1,2024-12-02 02:00:00,337,2
4.0,1400.0,7.2,95.0,1021.9,2024-12-02 03:00:00,337,3
2.0,2000.0,7.8,93.0,1023.5,2024-12-02 04:00:00,337,4
3.0,4000.0,8.4,90.0,1023.5,2024-12-02 05:00:00,337,5
3.0,5000.0,8.4,87.0,1024.2,2024-12-02 06:00:00,337,6
3.0,5000.0,8.2,84.0,1024.6,2024-12-02 07:00:00,337,7
0.0,10000.0,7.1,79.0,1018.6,2024-12-02 08:00:00,337,8
2.0,10000.0,11.7,62.0,1019.3,2024-12-02 09:00:00,337,9
2.0,10000.0,14.6,50.0,1020.0,2024-12-02 10:00:00,337,10
3.0,10000.0,16.5,44.0,1020.0,2024-12-02 11:00:00,337,11
2.0,10000.0,17.9,37.0,1019.7,2024-12-02 12:00:00,337,12
3.0,10000.0,18.6,36.0,1018.9,2024-12-02 13:00:00,337,13
2.0,10000.0,19.6,34.0,1018.5,2024-12-02 14:00:00,337,14
4.0,10000.0,19.5,33.0,1018.6,2024-12-02 15:00:00,337,15
