wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,5000.0,6.4,64.0,1029.3,2022-01-07 16:00:00,7,16
1.0,5000.0,6.1,69.0,1029.4,2022-01-07 17:00:00,7,17
2.0,4500.0,6.0,67.0,1029.9,2022-01-07 18:00:00,7,18
2.0,5000.0,5.6,72.0,1030.2,2022-01-07 19:00:00,7,19
2.0,4000.0,4.8,79.0,1030.4,2022-01-07 20:00:00,7,20
2.0,4000.0,4.4,82.0,1030.4,2022-01-07 21:00:00,7,21
2.0,4000.0,3.8,81.0,1030.3,2022-01-07 22:00:00,7,22
2.0,3500.0,2.6,86.0,1030.1,2022-01-07 23:00:00,7,23
2.0,3000.0,1.7,92.0,1029.8,2022-01-08 00:00:00,8,0
1.0,3000.0,1.1,93.0,1029.7,2022-01-08 01:00:00,8,1
1.0,2700.0,0.6,95.0,1029.7,2022-01-08 02:00:00,8,2
1.0,2900.0,-0.1,94.0,1029.3,2022-01-08 03:00:00,8,3
2.0,2300.0,-0.3,94.0,1028.7,2022-01-08 04:00:00,8,4
1.0,2500.0,-0.7,95.0,1028.2,2022-01-08 05:00:00,8,5
1.0,2400.0,-0.9,96.0,1028.2,2022-01-08 06:00:00,8,6
1.0,2400.0,-1.1,96.0,1028.4,2022-01-08 07:00:00,8,7
2.0,2500.0,-0.3,94.0,1028.3,2022-01-08 08:00:00,8,8
2.0,3500.0,2.1,80.0,1028.8,2022-01-08 09:00:00,8,9
2.0,5000.0,4.3,74.0,1029.2,2022-01-08 10:00:00,8,10
2.0,6000.0,6.5,60.0,1028.4,2022-01-08 11:00:00,8,11
2.0,6000.0,7.3,56.0,1027.2,2022-01-08 12:00:00,8,12
2.0,6000.0,8.5,52.0,1026.3,2022-01-08 13:00:00,8,13
2.0,6000.0,8.4,55.0,1025.7,2022-01-08 14:00:00,8,14
2.0,6000.0,8.1,55.0,1025.4,2022-01-08 15:00:00,8,15
