wsd,pv,t,rh,slp,BJ
5.0,10000.0,15.9,20.0,1019.7,2024-11-29 16:00:00
4.0,10000.0,12.7,28.0,1019.5,2024-11-29 17:00:00
0.0,10000.0,11.4,31.0,1019.9,2024-11-29 18:00:00
1.0,10000.0,11.3,30.0,1020.4,2024-11-29 19:00:00
1.0,10000.0,10.3,32.0,1020.7,2024-11-29 20:00:00
2.0,10000.0,7.9,45.0,1021.3,2024-11-29 21:00:00
2.0,10000.0,6.8,52.0,1021.3,2024-11-29 22:00:00
2.0,10000.0,7.4,48.0,1021.4,2024-11-29 23:00:00
0.0,10000.0,6.5,52.0,1021.3,2024-11-30 00:00:00
3.0,10000.0,7.1,66.0,1014.4,2024-11-30 01:00:00
2.0,10000.0,6.8,66.0,1014.2,2024-11-30 02:00:00
2.0,10000.0,5.8,72.0,1014.3,2024-11-30 03:00:00
2.0,10000.0,5.7,71.0,1014.0,2024-11-30 04:00:00
2.0,10000.0,5.4,73.0,1013.9,2024-11-30 05:00:00
4.0,10000.0,5.8,72.0,1014.1,2024-11-30 06:00:00
4.0,10000.0,5.4,73.0,1014.6,2024-11-30 07:00:00
4.0,10000.0,7.4,55.0,1020.4,2024-11-30 08:00:00
3.0,10000.0,10.2,45.0,1020.5,2024-11-30 09:00:00
3.0,10000.0,13.4,37.0,1020.3,2024-11-30 10:00:00
3.0,10000.0,16.0,31.0,1019.5,2024-11-30 11:00:00
2.0,10000.0,16.5,30.0,1018.1,2024-11-30 12:00:00
2.0,10000.0,17.4,25.0,1016.5,2024-11-30 13:00:00
2.0,10000.0,18.0,24.0,1015.3,2024-11-30 14:00:00
2.0,10000.0,18.0,22.0,1014.9,2024-11-30 15:00:00
