wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
4.0,10000.0,11.2,28.0,1036.2,2023-02-26 16:00:00,57,16
4.0,10000.0,10.4,28.0,1035.7,2023-02-26 17:00:00,57,17
3.0,10000.0,8.3,39.0,1035.6,2023-02-26 18:00:00,57,18
4.0,10000.0,6.2,45.0,1035.6,2023-02-26 19:00:00,57,19
3.0,10000.0,5.1,45.0,1035.9,2023-02-26 20:00:00,57,20
2.0,10000.0,4.8,50.0,1035.9,2023-02-26 21:00:00,57,21
3.0,10000.0,3.5,53.0,1035.7,2023-02-26 22:00:00,57,22
3.0,10000.0,4.1,49.0,1035.3,2023-02-26 23:00:00,57,23
2.0,10000.0,1.8,70.0,1034.9,2023-02-27 00:00:00,58,0
3.0,10000.0,3.3,53.0,1034.7,2023-02-27 01:00:00,58,1
3.0,10000.0,2.2,61.0,1034.4,2023-02-27 02:00:00,58,2
2.0,10000.0,2.2,59.0,1033.8,2023-02-27 03:00:00,58,3
2.0,10000.0,-1.3,82.0,1033.4,2023-02-27 04:00:00,58,4
2.0,10000.0,1.0,66.0,1033.2,2023-02-27 05:00:00,58,5
2.0,10000.0,0.3,69.0,1033.1,2023-02-27 06:00:00,58,6
3.0,10000.0,0.8,69.0,1033.2,2023-02-27 07:00:00,58,7
3.0,10000.0,3.5,62.0,1033.4,2023-02-27 08:00:00,58,8
4.0,10000.0,6.1,55.0,1033.3,2023-02-27 09:00:00,58,9
4.0,10000.0,8.1,47.0,1033.1,2023-02-27 10:00:00,58,10
3.0,10000.0,10.3,41.0,1032.6,2023-02-27 11:00:00,58,11
3.0,10000.0,12.5,38.0,1031.7,2023-02-27 12:00:00,58,12
4.0,10000.0,13.1,30.0,1030.6,2023-02-27 13:00:00,58,13
3.0,10000.0,13.9,30.0,1029.2,2023-02-27 14:00:00,58,14
3.0,10000.0,14.5,29.0,1028.6,2023-02-27 15:00:00,58,15
