wsd,pv,t,rh,slp,BJ
1.0,10000.0,19.4,68.0,1018.6,2024-10-27 16:00:00
2.0,10000.0,18.8,79.0,1018.6,2024-10-27 17:00:00
2.0,4000.0,17.8,85.0,1019.0,2024-10-27 18:00:00
2.0,5000.0,17.0,86.0,1019.2,2024-10-27 19:00:00
2.0,4000.0,16.0,90.0,1019.5,2024-10-27 20:00:00
1.0,3000.0,15.9,91.0,1020.1,2024-10-27 21:00:00
2.0,2200.0,15.6,94.0,1020.0,2024-10-27 22:00:00
1.0,1700.0,15.3,95.0,1020.0,2024-10-27 23:00:00
1.0,1600.0,15.5,94.0,1020.1,2024-10-28 00:00:00
1.0,1900.0,11.7,92.0,1019.3,2024-10-28 01:00:00
2.0,2200.0,12.2,94.0,1018.8,2024-10-28 02:00:00
0.0,2000.0,12.2,91.0,1018.7,2024-10-28 03:00:00
0.0,1400.0,10.8,96.0,1018.5,2024-10-28 04:00:00
1.0,1400.0,11.2,97.0,1018.9,2024-10-28 05:00:00
1.0,1400.0,11.2,96.0,1019.1,2024-10-28 06:00:00
1.0,1600.0,11.1,95.0,1019.5,2024-10-28 07:00:00
1.0,100.0,13.9,99.0,1020.4,2024-10-28 08:00:00
0.0,100.0,14.0,99.0,1020.8,2024-10-28 09:00:00
2.0,600.0,14.7,99.0,1020.7,2024-10-28 10:00:00
0.0,1200.0,15.5,99.0,1020.2,2024-10-28 11:00:00
1.0,2200.0,17.7,78.0,1019.5,2024-10-28 12:00:00
3.0,2000.0,18.5,77.0,1018.5,2024-10-28 13:00:00
2.0,2300.0,19.0,68.0,1018.0,2024-10-28 14:00:00
3.0,2500.0,19.2,73.0,1017.8,2024-10-28 15:00:00
