wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
3.0,10000.0,25.2,36.0,1019.9,2022-10-16 16:00:00,289,16
4.0,10000.0,23.8,41.0,1020.3,2022-10-16 17:00:00,289,17
3.0,10000.0,21.6,52.0,1020.7,2022-10-16 18:00:00,289,18
2.0,10000.0,20.5,61.0,1021.3,2022-10-16 19:00:00,289,19
2.0,10000.0,20.3,59.0,1022.2,2022-10-16 20:00:00,289,20
1.0,10000.0,19.7,62.0,1022.7,2022-10-16 21:00:00,289,21
1.0,10000.0,19.1,63.0,1023.1,2022-10-16 22:00:00,289,22
2.0,10000.0,18.4,65.0,1023.3,2022-10-16 23:00:00,289,23
1.0,9000.0,17.4,73.0,1023.2,2022-10-17 00:00:00,290,0
2.0,8000.0,17.7,72.0,1023.3,2022-10-17 01:00:00,290,1
1.0,6000.0,16.9,78.0,1023.6,2022-10-17 02:00:00,290,2
1.0,5000.0,16.3,80.0,1023.9,2022-10-17 03:00:00,290,3
2.0,5000.0,16.4,82.0,1024.4,2022-10-17 04:00:00,290,4
2.0,4000.0,15.8,84.0,1025.1,2022-10-17 05:00:00,290,5
3.0,4000.0,15.6,86.0,1025.6,2022-10-17 06:00:00,290,6
5.0,3500.0,16.0,84.0,1026.3,2022-10-17 07:00:00,290,7
6.0,7000.0,15.5,75.0,1027.3,2022-10-17 08:00:00,290,8
6.0,10000.0,16.3,67.0,1028.1,2022-10-17 09:00:00,290,9
6.0,10000.0,17.4,56.0,1028.2,2022-10-17 10:00:00,290,10
6.0,10000.0,18.2,52.0,1028.1,2022-10-17 11:00:00,290,11
6.0,10000.0,19.1,43.0,1027.8,2022-10-17 12:00:00,290,12
6.0,10000.0,20.6,33.0,1027.0,2022-10-17 13:00:00,290,13
6.0,10000.0,21.4,30.0,1026.3,2022-10-17 14:00:00,290,14
6.0,10000.0,21.7,26.0,1026.2,2022-10-17 15:00:00,290,15
