wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
4.0,4000.0,2.4,64.0,1029.3,2021-01-06 16:00:00,6,16
4.0,3800.0,2.0,64.0,1030.3,2021-01-06 17:00:00,6,17
3.0,4000.0,1.6,70.0,1030.4,2021-01-06 18:00:00,6,18
4.0,4000.0,1.4,70.0,1031.1,2021-01-06 19:00:00,6,19
3.0,4000.0,1.0,72.0,1031.9,2021-01-06 20:00:00,6,20
3.0,4000.0,0.8,72.0,1032.6,2021-01-06 21:00:00,6,21
2.0,5000.0,0.8,64.0,1033.2,2021-01-06 22:00:00,6,22
3.0,5000.0,0.7,60.0,1034.0,2021-01-06 23:00:00,6,23
6.0,8000.0,0.0,42.0,1034.8,2021-01-07 00:00:00,7,0
5.0,10000.0,-0.8,38.0,1035.4,2021-01-07 01:00:00,7,1
6.0,10000.0,-1.9,37.0,1036.1,2021-01-07 02:00:00,7,2
6.0,10000.0,-2.7,35.0,1036.8,2021-01-07 03:00:00,7,3
7.0,10000.0,-3.7,37.0,1036.7,2021-01-07 04:00:00,7,4
7.0,10000.0,-4.5,37.0,1037.0,2021-01-07 05:00:00,7,5
6.0,10000.0,-4.9,41.0,1038.0,2021-01-07 06:00:00,7,6
5.0,10000.0,-5.6,35.0,1039.2,2021-01-07 07:00:00,7,7
5.0,10000.0,-6.0,27.0,1040.7,2021-01-07 08:00:00,7,8
5.0,10000.0,-5.8,33.0,1041.3,2021-01-07 09:00:00,7,9
5.0,10000.0,-6.0,32.0,1041.1,2021-01-07 10:00:00,7,10
5.0,10000.0,-5.6,23.0,1040.6,2021-01-07 11:00:00,7,11
5.0,10000.0,-5.1,25.0,1039.6,2021-01-07 12:00:00,7,12
5.0,10000.0,-5.2,23.0,1038.3,2021-01-07 13:00:00,7,13
6.0,10000.0,-4.2,21.0,1037.4,2021-01-07 14:00:00,7,14
5.0,10000.0,-4.8,22.0,1037.2,2021-01-07 15:00:00,7,15
