wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
2.0,10000.0,27.9,42.0,1012.8,2023-11-03 16:00:00,307,16
3.0,10000.0,25.5,54.0,1013.3,2023-11-03 17:00:00,307,17
2.0,10000.0,23.7,59.0,1013.8,2023-11-03 18:00:00,307,18
2.0,5000.0,21.5,71.0,1014.4,2023-11-03 19:00:00,307,19
3.0,5000.0,22.1,66.0,1014.7,2023-11-03 20:00:00,307,20
3.0,4000.0,21.6,70.0,1015.3,2023-11-03 21:00:00,307,21
4.0,3500.0,21.1,75.0,1015.8,2023-11-03 22:00:00,307,22
5.0,3500.0,20.5,79.0,1015.6,2023-11-03 23:00:00,307,23
4.0,3500.0,19.8,82.0,1015.4,2023-11-04 00:00:00,308,0
3.0,3500.0,19.7,84.0,1015.3,2023-11-04 01:00:00,308,1
2.0,3000.0,18.9,88.0,1015.5,2023-11-04 02:00:00,308,2
2.0,2800.0,18.8,89.0,1015.4,2023-11-04 03:00:00,308,3
3.0,2800.0,19.0,88.0,1015.5,2023-11-04 04:00:00,308,4
2.0,2800.0,18.7,88.0,1015.8,2023-11-04 05:00:00,308,5
3.0,3500.0,18.6,89.0,1016.3,2023-11-04 06:00:00,308,6
2.0,3000.0,18.4,89.0,1016.5,2023-11-04 07:00:00,308,7
2.0,3500.0,18.7,88.0,1017.1,2023-11-04 08:00:00,308,8
3.0,4200.0,19.1,86.0,1017.3,2023-11-04 09:00:00,308,9
3.0,4500.0,19.6,84.0,1017.6,2023-11-04 10:00:00,308,10
3.0,4800.0,19.3,85.0,1017.4,2023-11-04 11:00:00,308,11
2.0,4500.0,20.0,82.0,1016.5,2023-11-04 12:00:00,308,12
3.0,4500.0,20.6,80.0,1015.9,2023-11-04 13:00:00,308,13
3.0,5000.0,21.1,77.0,1015.1,2023-11-04 14:00:00,308,14
3.0,4700.0,21.4,75.0,1015.1,2023-11-04 15:00:00,308,15
