wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
6.0,10000.0,15.3,63.0,1027.8,2024-10-19 16:00:00,293,16
6.0,10000.0,15.0,63.0,1028.1,2024-10-19 17:00:00,293,17
3.0,10000.0,14.8,64.0,1028.6,2024-10-19 18:00:00,293,18
2.0,10000.0,14.6,68.0,1029.4,2024-10-19 19:00:00,293,19
3.0,10000.0,14.4,68.0,1030.1,2024-10-19 20:00:00,293,20
5.0,10000.0,14.1,66.0,1030.6,2024-10-19 21:00:00,293,21
4.0,10000.0,13.2,70.0,1030.8,2024-10-19 22:00:00,293,22
4.0,10000.0,12.6,73.0,1030.7,2024-10-19 23:00:00,293,23
5.0,10000.0,12.6,70.0,1029.9,2024-10-20 00:00:00,294,0
3.0,10000.0,13.9,88.0,1023.8,2024-10-20 01:00:00,294,1
3.0,7000.0,13.7,90.0,1023.9,2024-10-20 02:00:00,294,2
3.0,5000.0,13.4,93.0,1023.8,2024-10-20 03:00:00,294,3
2.0,4000.0,13.3,92.0,1022.9,2024-10-20 04:00:00,294,4
3.0,4000.0,13.4,93.0,1023.2,2024-10-20 05:00:00,294,5
3.0,3200.0,13.2,95.0,1023.3,2024-10-20 06:00:00,294,6
2.0,2000.0,13.1,96.0,1023.4,2024-10-20 07:00:00,294,7
4.0,10000.0,9.8,78.0,1030.4,2024-10-20 08:00:00,294,8
4.0,10000.0,11.1,75.0,1030.5,2024-10-20 09:00:00,294,9
3.0,10000.0,13.0,70.0,1029.9,2024-10-20 10:00:00,294,10
4.0,10000.0,15.4,64.0,1028.8,2024-10-20 11:00:00,294,11
4.0,10000.0,16.8,58.0,1027.4,2024-10-20 12:00:00,294,12
3.0,10000.0,16.9,58.0,1026.3,2024-10-20 13:00:00,294,13
2.0,10000.0,17.9,55.0,1025.3,2024-10-20 14:00:00,294,14
3.0,10000.0,18.4,55.0,1024.8,2024-10-20 15:00:00,294,15
