wsd,pv,t,rh,slp,BJ,day_of_year,hour_of_day
5.0,10000.0,7.7,32.0,1027.3,2022-12-14 16:00:00,348,16
3.0,10000.0,6.1,36.0,1026.8,2022-12-14 17:00:00,348,17
3.0,10000.0,4.5,42.0,1026.4,2022-12-14 18:00:00,348,18
4.0,10000.0,4.7,41.0,1026.0,2022-12-14 19:00:00,348,19
4.0,10000.0,4.7,43.0,1025.9,2022-12-14 20:00:00,348,20
4.0,10000.0,2.1,57.0,1026.2,2022-12-14 21:00:00,348,21
4.0,10000.0,1.1,66.0,1026.1,2022-12-14 22:00:00,348,22
4.0,10000.0,1.2,67.0,1025.6,2022-12-14 23:00:00,348,23
4.0,10000.0,1.2,63.0,1025.2,2022-12-15 00:00:00,349,0
3.0,10000.0,1.2,61.0,1024.9,2022-12-15 01:00:00,349,1
4.0,10000.0,0.9,64.0,1024.2,2022-12-15 02:00:00,349,2
4.0,10000.0,1.0,63.0,1023.5,2022-12-15 03:00:00,349,3
4.0,10000.0,1.5,62.0,1022.9,2022-12-15 04:00:00,349,4
3.0,10000.0,0.3,70.0,1022.6,2022-12-15 05:00:00,349,5
4.0,10000.0,0.3,72.0,1022.5,2022-12-15 06:00:00,349,6
5.0,10000.0,1.7,67.0,1022.7,2022-12-15 07:00:00,349,7
4.0,10000.0,2.7,63.0,1022.8,2022-12-15 08:00:00,349,8
4.0,10000.0,4.9,56.0,1023.8,2022-12-15 09:00:00,349,9
3.0,10000.0,6.8,49.0,1023.8,2022-12-15 10:00:00,349,10
2.0,10000.0,10.1,39.0,1023.1,2022-12-15 11:00:00,349,11
2.0,10000.0,12.6,31.0,1022.1,2022-12-15 12:00:00,349,12
2.0,10000.0,14.3,23.0,1021.1,2022-12-15 13:00:00,349,13
3.0,10000.0,15.3,24.0,1020.5,2022-12-15 14:00:00,349,14
4.0,10000.0,14.6,24.0,1020.4,2022-12-15 15:00:00,349,15
