fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,10.6,16.2,14.5,12.8,70.1,46.7,38.0,38.6,5.2,5.2,4.0,4.0,1013.8
3,8.9,14.7,14.6,12.8,78.9,52.9,39.4,40.2,3.2,4.3,4.3,4.3,1015.4
6,7.7,13.5,14.3,12.4,82.9,54.9,37.2,38.0,1.3,4.6,7.2,7.2,1016.2
9,6.3,12.4,13.9,12.1,85.5,55.6,29.7,26.0,2.1,4.6,7.7,7.7,1016.9
12,7.4,11.7,13.5,11.8,82.9,57.6,27.2,20.9,1.5,3.1,5.5,5.5,1018.9
15,15.6,13.5,13.2,11.8,55.6,58.2,32.3,27.4,1.1,2.3,6.0,6.0,1020.5
18,18.2,16.4,12.7,11.7,43.0,44.2,44.2,30.9,2.1,2.8,4.5,4.5,1019.0
21,13.3,15.3,11.8,10.9,59.5,46.3,48.5,34.7,5.8,6.0,4.4,4.4,1019.7
24,9.6,11.9,10.5,9.3,72.0,58.5,54.8,47.9,6.2,8.1,5.8,5.8,1021.3
27,7.8,8.9,9.4,8.5,83.2,75.4,63.9,61.1,6.0,9.1,7.9,7.9,1023.3
30,6.8,7.2,8.0,8.0,91.4,88.7,75.3,66.0,3.4,7.9,8.6,8.6,1024.0
33,6.3,6.1,6.5,6.8,92.7,92.0,86.5,75.5,3.8,7.5,8.4,8.4,1024.1
36,6.8,5.7,6.2,6.4,88.4,91.1,84.3,76.3,2.3,6.0,8.4,8.4,1025.9
39,11.6,8.8,6.2,6.7,67.3,77.0,85.3,72.4,1.5,3.0,8.2,8.2,1025.7
42,14.2,11.9,7.7,6.6,59.5,65.3,81.1,76.0,2.0,2.9,4.4,4.4,1022.6
