fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,3.3,1.3,-0.9,-2.3,90.1,93.6,95.5,95.2,4.8,6.1,9.7,9.7,1034.0,338,20
3,2.8,0.8,-1.1,-2.2,93.7,97.2,96.6,95.8,5.4,6.2,7.8,7.8,1034.6,338,23
6,2.3,0.5,-1.0,-1.9,94.6,96.1,93.9,92.9,4.9,6.4,7.7,7.7,1034.0,339,2
9,2.2,0.4,-0.8,-1.8,92.1,92.8,91.5,89.6,4.4,6.4,7.3,7.3,1032.7,339,5
12,2.4,0.5,-0.8,-2.0,86.2,84.4,81.4,79.0,4.4,6.6,6.7,6.7,1034.5,339,8
15,5.9,2.5,-0.6,-1.7,63.1,72.9,63.0,62.6,3.0,3.5,5.8,5.8,1033.8,339,11
18,8.1,5.2,1.1,-1.0,47.7,52.0,64.8,71.8,2.0,2.1,2.7,2.7,1030.9,339,14
21,5.1,5.5,1.6,-0.4,63.1,49.4,61.3,68.1,2.8,2.7,3.0,3.0,1030.4,339,17
24,2.3,5.1,1.5,-0.4,75.2,49.4,61.4,68.2,3.0,3.6,2.5,2.5,1030.6,339,20
27,1.0,4.6,1.5,-0.2,80.5,50.3,63.8,70.7,2.9,3.4,1.7,1.7,1030.5,339,23
30,0.2,4.2,1.5,0.0,83.9,51.9,66.4,72.3,2.2,3.5,1.2,1.2,1029.8,340,2
33,-0.5,3.8,1.4,0.1,86.4,54.6,67.8,73.7,2.1,4.3,1.7,1.7,1028.7,340,5
36,1.0,3.3,1.3,0.1,81.0,58.8,68.9,75.2,1.9,4.8,2.5,2.5,1030.3,340,8
39,7.7,4.8,1.8,0.7,58.6,64.5,69.9,72.1,2.0,2.7,3.6,3.6,1029.4,340,11
42,9.7,7.3,3.2,1.3,54.5,58.2,72.7,76.4,1.3,2.0,2.6,2.6,1026.4,340,14
