fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,8.9,10.8,7.6,7.3,81.6,66.5,73.7,55.0,2.0,4.4,5.6,5.6,1022.4,41,20
3,8.5,9.6,7.4,7.4,82.5,72.4,73.7,59.1,2.6,6.5,6.5,6.5,1022.8,41,23
6,7.7,8.3,7.6,7.9,87.0,79.8,72.5,64.4,1.9,5.6,5.8,5.8,1021.8,42,2
9,7.3,7.6,8.2,8.7,90.4,85.9,74.0,68.6,2.1,5.4,4.3,4.3,1021.0,42,5
12,7.7,7.3,8.7,9.2,92.2,90.9,77.7,68.4,1.6,4.2,1.7,1.7,1022.1,42,8
15,10.1,8.3,8.2,8.4,85.6,91.9,83.8,75.9,2.4,3.5,3.7,3.7,1022.6,42,11
18,11.1,9.5,7.8,7.5,83.8,89.5,86.4,81.6,3.2,4.7,6.9,6.9,1020.4,42,14
21,10.8,9.7,7.7,7.0,85.0,88.3,80.5,76.8,3.0,5.6,8.8,8.8,1020.8,42,17
24,9.1,9.2,7.5,6.8,90.3,86.1,75.0,70.9,2.7,6.6,7.6,7.6,1021.3,42,20
27,6.9,7.7,6.7,6.0,93.3,86.9,76.9,75.7,2.8,7.1,8.0,8.0,1021.1,42,23
30,5.6,6.8,6.7,6.0,94.0,88.3,78.9,78.5,2.1,6.2,8.2,8.2,1020.4,43,2
33,4.6,6.5,6.7,6.2,96.0,89.8,80.8,78.1,1.9,4.5,4.1,4.1,1019.6,43,5
36,6.1,6.2,6.4,6.0,92.7,90.7,83.4,80.0,2.6,5.5,2.7,2.7,1021.3,43,8
39,12.0,9.5,6.4,6.3,70.9,78.5,86.3,79.1,2.7,3.5,3.8,3.8,1021.8,43,11
42,15.2,13.2,9.1,7.2,57.4,60.7,74.3,81.7,1.9,2.6,2.7,2.7,1019.9,43,14
