fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,1.7,5.3,1.9,0.1,56.2,33.0,34.8,35.0,3.1,2.3,3.3,3.3,1027.9
3,0.4,5.1,2.2,0.5,66.9,37.6,35.5,33.8,5.2,6.9,4.7,4.7,1028.6
6,-0.1,5.0,2.6,1.0,73.9,38.9,34.3,34.1,3.8,5.4,4.1,4.1,1027.7
9,-1.7,4.8,2.8,1.3,80.8,37.1,31.9,30.5,2.9,3.8,4.4,4.4,1026.4
12,-0.4,4.6,3.0,1.7,77.5,35.2,29.1,25.9,1.3,2.7,4.4,4.4,1027.7
15,8.5,5.8,3.7,2.5,40.2,39.5,23.9,21.7,2.5,3.4,4.9,4.9,1027.7
18,12.0,9.5,5.3,3.4,25.6,25.6,30.6,31.0,2.4,3.6,5.2,5.2,1025.0
21,8.8,10.2,6.3,4.5,44.5,27.3,30.9,30.5,1.6,3.2,5.4,5.4,1025.1
24,4.1,9.3,6.1,4.4,56.9,31.8,31.8,27.8,2.3,5.0,7.1,7.1,1026.9
27,2.2,8.1,5.3,3.4,65.9,35.0,30.3,29.5,4.4,8.5,11.2,11.2,1028.9
30,0.4,6.5,4.4,2.6,71.7,33.7,24.5,25.9,4.7,7.9,11.3,11.3,1029.5
33,-0.5,3.7,3.3,1.9,71.8,38.6,24.0,25.0,6.4,9.1,8.4,8.4,1029.9
36,-0.5,0.3,1.4,0.5,65.8,49.1,27.3,27.4,6.7,10.1,6.9,6.9,1032.4
39,4.9,1.3,-0.0,-0.7,44.5,51.7,30.0,29.1,3.3,5.0,8.1,8.1,1033.9
42,7.8,4.5,0.4,-1.4,34.5,37.7,46.6,45.2,3.2,4.4,5.0,5.0,1031.1
