fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,1.9,0.2,-2.8,-3.2,69.7,75.2,78.7,59.9,2.9,3.5,4.5,4.5,1029.4
3,1.6,0.0,-2.7,-3.4,72.8,76.3,78.0,68.1,2.6,3.5,3.3,3.3,1029.1
6,0.5,0.2,-2.2,-2.8,79.1,71.4,74.1,66.5,2.2,3.2,4.4,4.4,1027.4
9,-0.8,0.3,-2.2,-2.9,84.8,69.1,77.4,71.3,2.1,1.8,3.0,3.0,1026.8
12,0.5,0.3,-1.9,-2.1,78.4,68.3,77.0,69.1,2.4,3.5,3.0,3.0,1028.3
15,5.8,2.7,-1.3,-1.2,54.4,63.6,77.3,67.2,2.7,3.2,4.0,4.0,1027.8
18,8.7,5.9,1.7,-0.3,48.1,54.2,68.5,76.7,2.9,2.9,3.2,3.2,1024.6
21,8.1,6.9,3.1,1.4,53.8,54.5,67.3,74.2,2.0,3.0,4.3,4.3,1023.7
24,3.4,6.4,3.3,2.0,75.4,57.6,69.5,74.5,2.2,3.7,4.6,4.6,1024.7
27,1.6,6.0,3.2,2.3,83.6,58.9,71.3,74.7,2.1,5.7,2.2,2.2,1025.4
30,0.4,5.0,2.9,1.8,86.8,62.1,72.5,77.1,2.2,6.0,2.3,2.3,1025.2
33,-0.5,3.9,2.5,1.3,88.8,66.3,72.2,77.7,1.4,4.6,3.2,3.2,1024.9
36,0.7,3.2,2.2,0.9,84.3,68.8,70.0,75.5,2.5,6.7,5.4,5.4,1026.7
39,8.2,5.2,2.3,1.3,56.7,65.6,65.5,67.0,2.7,4.7,8.0,8.0,1026.4
42,10.9,8.4,4.1,2.1,46.4,51.2,64.6,70.9,2.8,4.2,5.4,5.4,1023.6
