fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,1.4,5.3,2.0,1.7,72.4,47.9,53.5,30.8,3.4,5.6,4.9,4.9,1033.4,364,20
3,-0.1,4.9,2.3,2.1,78.1,49.0,47.7,26.3,3.4,4.6,3.4,3.4,1033.9,364,23
6,-0.7,4.8,3.2,2.6,80.1,53.3,36.6,24.9,2.5,3.4,3.0,3.0,1034.2,365,2
9,-1.7,4.6,3.9,2.9,84.5,56.1,29.8,24.9,2.9,2.6,2.0,2.0,1033.4,365,5
12,-0.6,4.3,4.1,3.1,84.4,57.6,28.4,24.4,1.7,1.4,1.6,1.6,1034.1,365,8
15,7.4,4.4,4.2,3.4,57.9,61.8,26.4,23.2,2.3,3.3,2.5,2.5,1034.4,365,11
18,10.0,7.2,4.1,3.6,45.7,49.4,35.6,23.7,1.0,1.3,2.6,2.6,1032.1,365,14
21,7.6,7.6,4.7,4.1,57.5,46.8,33.0,24.5,0.7,1.7,2.9,2.9,1031.9,365,17
24,5.2,7.4,5.4,4.5,64.5,45.6,26.3,25.8,1.8,4.0,4.2,4.2,1032.0,365,20
27,3.9,7.2,5.7,4.6,69.6,44.6,27.0,26.6,1.8,4.3,3.3,3.3,1032.0,365,23
30,3.4,6.9,5.8,4.6,70.0,42.8,27.6,26.9,1.8,4.3,2.9,2.9,1031.7,1,2
33,2.5,6.5,5.7,4.4,72.1,41.8,27.0,27.1,1.8,4.7,3.6,3.6,1031.4,1,5
36,3.1,6.1,5.4,4.1,68.5,42.0,26.4,26.7,2.0,6.1,5.4,5.4,1032.9,1,8
39,8.3,5.9,5.0,3.9,51.2,47.7,26.9,27.1,2.4,6.9,7.3,7.3,1033.0,1,11
42,10.8,8.2,4.9,4.0,38.9,41.0,33.9,28.4,2.8,4.4,6.9,6.9,1030.7,1,14
