fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,6.4,8.7,7.2,6.6,70.9,58.1,60.2,54.3,5.9,7.6,9.3,9.3,1019.4
3,6.0,7.8,7.9,7.2,79.4,69.1,64.6,62.2,8.2,8.9,14.7,14.7,1018.7
6,5.5,7.2,8.1,7.8,88.8,79.6,69.5,65.8,8.3,8.4,14.3,14.3,1017.0
9,5.1,6.7,8.4,8.2,93.2,86.4,71.0,69.2,7.4,7.2,7.7,7.7,1015.3
12,6.8,6.8,8.8,8.7,90.0,88.8,72.9,70.6,7.6,7.5,7.2,7.2,1015.8
15,13.9,11.9,9.6,9.9,66.5,71.9,73.1,69.0,6.9,6.7,11.8,11.8,1015.0
18,17.7,16.3,11.7,10.5,58.2,60.6,75.9,76.6,8.0,7.6,9.9,9.9,1011.5
21,17.2,17.2,13.4,12.0,65.5,63.6,74.9,79.2,8.6,7.3,11.5,11.5,1010.7
24,13.7,15.1,14.3,13.5,82.8,75.8,75.4,77.5,8.0,6.8,14.3,14.3,1011.3
27,13.2,14.6,15.0,14.6,86.9,80.5,76.9,80.3,6.8,6.1,13.4,13.4,1011.4
30,13.2,14.4,15.7,15.1,88.8,83.5,78.0,81.5,6.4,5.9,13.3,13.3,1010.6
33,13.1,14.2,15.7,15.2,89.7,86.0,79.5,81.4,8.3,5.8,17.1,17.1,1008.2
36,15.1,15.4,15.8,15.8,85.3,83.8,79.3,77.9,10.6,8.0,20.1,20.1,1008.7
39,20.9,19.9,15.9,15.8,66.5,68.4,81.2,79.4,11.1,9.9,19.9,19.9,1008.5
42,23.3,22.5,18.3,16.3,60.3,61.0,74.8,80.6,10.1,8.1,13.5,13.5,1005.4
