fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,10.2,13.3,11.6,10.7,68.4,51.9,45.5,33.8,6.8,8.4,4.0,4.0,1021.0,337,20
3,8.3,10.0,10.7,9.8,80.3,69.5,51.0,42.7,5.1,8.1,4.7,4.7,1022.4,337,23
6,6.9,7.9,9.7,9.2,91.1,85.9,60.0,50.9,4.2,8.0,5.5,5.5,1022.7,338,2
9,6.4,6.6,8.1,8.3,94.9,94.3,74.5,60.9,4.2,7.4,6.6,6.6,1023.0,338,5
12,7.5,6.2,7.1,7.3,89.6,93.8,81.9,69.3,2.7,5.8,7.3,7.3,1025.1,338,8
15,11.4,8.8,6.6,7.1,70.7,80.2,86.7,71.7,1.9,3.0,7.3,7.3,1025.4,338,11
18,13.7,11.7,7.6,6.3,61.3,66.8,82.7,82.7,2.7,3.2,4.0,4.0,1022.8,338,14
21,12.3,11.8,8.2,6.5,67.1,65.8,78.2,83.6,4.6,5.8,6.1,6.1,1022.7,338,17
24,10.5,10.5,8.4,6.9,72.5,69.1,74.5,80.3,4.9,7.6,7.7,7.7,1023.5,338,20
27,10.0,9.6,8.0,6.7,72.0,70.5,74.5,79.8,4.3,7.9,9.2,9.2,1024.6,338,23
30,9.3,8.7,7.4,6.6,75.1,75.2,78.9,80.5,3.0,7.2,8.6,8.6,1024.6,339,2
33,8.5,7.8,6.6,6.2,79.5,80.1,83.0,82.7,2.7,6.1,8.5,8.5,1024.3,339,5
36,8.5,7.1,6.0,5.7,80.5,81.7,81.7,83.9,3.8,7.6,9.3,9.3,1025.7,339,8
39,10.5,8.3,6.2,5.7,69.6,75.7,77.0,80.8,2.6,4.3,8.1,8.1,1025.6,339,11
42,10.1,8.6,6.5,5.6,78.1,79.7,76.2,79.0,4.8,5.6,5.6,5.6,1023.5,339,14
