fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,5.1,3.8,1.8,0.9,94.0,97.8,99.8,99.7,4.4,6.3,10.2,10.2,1025.5
3,5.1,3.9,2.0,1.4,95.5,98.6,99.8,99.8,5.0,7.6,11.8,11.8,1025.4
6,4.9,3.7,1.5,1.0,95.5,98.3,99.7,99.6,5.5,7.8,11.0,11.0,1025.3
9,4.3,3.0,1.1,1.0,94.4,97.4,98.7,99.1,5.7,8.9,12.3,12.3,1024.8
12,3.7,2.2,0.8,0.9,93.6,97.8,98.5,99.3,5.5,8.1,11.2,11.2,1026.5
15,4.1,2.1,0.9,1.1,88.4,96.4,96.9,98.8,5.6,6.8,9.4,9.4,1026.9
18,4.5,2.7,0.3,1.0,84.1,91.4,99.2,98.8,6.1,6.8,7.1,7.1,1024.3
21,3.6,2.2,-0.3,0.5,89.4,92.3,98.5,97.2,6.4,7.3,9.2,9.2,1024.9
24,2.7,1.2,-1.1,-0.2,90.8,93.6,97.4,95.8,6.0,7.0,9.1,9.1,1026.8
27,1.8,0.4,-1.0,-0.3,95.3,95.1,95.1,95.6,6.8,8.0,8.0,8.0,1027.4
30,1.3,-0.2,-1.4,-0.7,95.2,95.7,96.5,97.1,6.0,7.9,7.2,7.2,1027.7
33,1.0,-0.5,-2.0,-1.7,94.2,96.1,98.1,98.6,6.6,9.0,8.4,8.4,1027.2
36,1.1,-0.5,-2.2,-2.6,89.0,90.4,94.6,97.9,5.4,7.8,9.8,9.8,1028.4
39,3.0,0.4,-2.3,-2.6,71.1,80.1,94.5,98.5,5.3,6.4,7.2,7.2,1029.2
42,4.6,2.1,-1.0,-2.3,63.5,70.9,89.2,98.4,4.8,5.7,7.6,7.6,1026.7
