fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,16.2,17.4,14.5,12.4,70.2,60.5,63.9,70.4,7.5,8.6,10.3,10.3,1020.8
3,13.8,15.9,13.7,12.0,79.4,64.0,61.7,62.2,5.4,6.7,9.8,9.8,1022.2
6,12.5,15.3,13.3,11.7,85.2,66.3,69.6,68.6,5.8,6.7,8.8,8.8,1022.5
9,11.7,14.4,13.4,11.9,89.0,69.6,67.8,70.8,4.7,5.7,7.4,7.4,1022.2
12,13.8,13.7,13.6,12.3,82.2,72.1,66.2,67.6,4.1,4.8,5.4,5.4,1024.3
15,19.3,16.7,14.1,12.8,60.6,65.0,58.5,57.8,1.9,2.1,4.9,4.9,1024.3
18,21.6,19.5,15.2,13.1,49.4,50.7,61.3,65.4,2.7,2.9,3.5,3.5,1021.9
21,18.4,19.7,15.6,13.5,69.0,50.0,59.6,64.1,3.2,3.4,3.7,3.7,1021.8
24,14.9,19.0,15.2,13.2,79.8,52.9,60.3,64.4,3.5,4.3,4.5,4.5,1023.3
27,13.7,18.2,14.9,13.1,84.3,55.1,60.5,62.7,1.1,3.1,2.9,2.9,1023.6
30,12.8,17.4,14.7,13.3,87.6,58.4,60.4,56.5,1.3,1.7,1.7,1.7,1022.7
33,11.6,16.4,14.3,13.2,91.6,63.7,63.1,53.9,0.8,1.2,1.5,1.5,1022.0
36,13.8,15.7,14.0,13.3,86.7,68.0,64.3,50.7,0.7,1.4,1.3,1.3,1023.1
39,20.2,17.8,14.5,14.1,61.8,64.9,62.0,46.4,0.8,0.7,0.8,0.8,1022.4
42,22.1,20.2,16.0,14.2,52.7,54.0,64.0,61.0,0.7,0.9,1.6,1.6,1019.7
