fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,4.1,2.4,-0.3,-1.2,88.3,96.5,99.7,99.2,2.5,4.3,7.5,7.5,1029.3,5,20
3,4.1,2.3,-0.2,-0.7,89.2,96.9,99.9,98.2,2.5,5.1,8.0,8.0,1029.9,5,23
6,4.0,2.2,-0.5,-1.3,89.1,97.6,99.8,99.8,3.2,6.0,6.1,6.1,1030.7,6,2
9,3.8,2.0,-0.5,-1.2,87.7,95.3,98.2,98.1,3.3,6.8,6.8,6.8,1031.2,6,5
12,3.4,1.6,-0.3,-1.4,85.6,90.9,91.7,93.9,3.3,7.3,8.6,8.6,1032.5,6,8
15,6.0,2.9,-0.3,-1.8,67.1,78.3,84.7,87.1,3.3,5.3,9.2,9.2,1033.2,6,11
18,8.0,5.3,1.2,-0.9,52.8,58.5,73.5,82.7,3.6,4.9,5.3,5.3,1030.9,6,14
21,7.2,5.6,1.6,-0.4,53.7,54.3,67.6,76.2,2.8,5.5,6.2,6.2,1030.8,6,17
24,4.7,4.7,1.4,-0.5,60.6,53.1,65.3,73.0,3.0,8.0,6.2,6.2,1032.0,6,20
27,3.1,4.0,1.3,-0.4,65.0,55.3,65.0,72.4,2.9,8.5,7.7,7.7,1032.8,6,23
30,2.2,2.4,0.8,-0.7,71.8,66.5,68.3,74.4,3.0,8.9,6.9,6.9,1033.0,7,2
33,1.3,1.8,0.4,-0.9,80.9,72.9,70.9,75.2,2.3,8.0,6.2,6.2,1032.0,7,5
36,1.2,1.8,0.1,-1.2,83.7,72.1,68.9,74.6,2.4,7.6,6.6,6.6,1032.7,7,8
39,6.6,3.3,0.0,-1.2,59.4,68.8,70.2,69.6,2.0,3.8,5.0,5.0,1032.8,7,11
42,8.9,5.9,1.8,-0.3,48.7,53.5,66.9,74.8,1.4,2.1,2.9,2.9,1029.6,7,14
