fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,15.9,18.5,17.0,16.7,81.5,63.1,48.2,29.4,2.1,2.2,1.7,1.7,1021.8
3,14.1,18.0,17.2,17.0,88.4,63.8,42.5,22.1,2.1,2.3,1.9,1.9,1022.3
6,13.0,17.4,16.8,16.6,91.6,66.4,43.7,21.2,1.3,1.6,3.1,3.1,1022.0
9,11.5,16.7,16.2,16.1,95.6,69.8,44.6,20.3,2.5,2.7,4.5,4.5,1021.6
12,14.7,16.1,15.8,15.8,86.1,72.4,42.9,20.2,3.2,3.7,5.4,5.4,1023.1
15,21.7,18.9,15.1,15.2,54.0,59.9,59.4,27.8,3.7,4.0,7.3,7.3,1022.9
18,23.9,21.6,17.2,15.1,42.9,45.3,55.2,57.3,4.1,4.3,5.0,5.0,1020.7
21,21.3,21.6,17.4,15.3,53.9,47.2,56.2,60.5,4.8,5.7,6.5,6.5,1020.9
24,16.7,19.9,16.7,14.9,71.8,54.0,61.7,61.6,5.1,7.6,7.1,7.1,1022.6
27,14.5,18.8,16.1,14.5,82.9,60.5,64.6,61.4,5.2,6.9,7.6,7.6,1023.1
30,13.4,17.9,15.7,14.3,88.5,64.7,66.2,61.7,5.1,6.9,7.7,7.7,1022.7
33,12.6,16.6,15.4,13.9,91.9,72.3,63.7,64.8,3.5,5.7,7.8,7.8,1023.0
36,15.4,14.6,14.4,13.1,83.1,84.1,69.0,70.3,3.8,7.3,7.4,7.4,1025.1
39,20.9,17.9,14.1,13.1,59.7,67.8,71.9,71.7,2.6,3.7,6.2,6.2,1024.8
42,23.0,20.5,16.1,13.9,48.3,52.4,64.9,72.1,3.2,3.4,4.2,4.2,1021.9
