fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl
0,16.7,20.3,18.8,17.1,42.5,30.1,25.9,25.9,7.3,7.9,11.1,11.1,1018.0
3,14.7,19.3,18.8,17.1,49.2,31.8,23.9,24.1,5.9,6.8,9.9,9.9,1018.9
6,12.8,18.5,18.7,17.2,55.9,33.9,21.5,20.7,6.0,6.2,6.3,6.3,1018.4
9,11.6,17.4,18.6,17.2,62.1,38.0,21.4,19.9,6.6,7.0,4.2,4.2,1017.5
12,14.1,17.0,18.5,17.1,57.7,39.6,22.9,22.2,5.4,6.3,3.3,3.3,1018.8
15,21.0,19.3,18.0,16.6,41.1,39.6,28.2,28.4,2.0,2.9,5.1,5.1,1019.3
18,24.1,22.4,18.2,16.3,33.9,34.5,39.8,41.9,2.5,3.2,4.0,4.0,1017.1
21,22.3,22.0,18.5,16.7,44.2,40.6,43.2,45.8,5.0,5.2,5.2,5.2,1016.3
24,16.4,20.1,18.6,16.9,64.7,45.8,42.5,45.0,5.7,6.1,5.2,5.2,1017.4
27,14.2,19.6,18.5,16.8,73.0,45.9,43.4,46.5,5.0,5.3,6.5,6.5,1018.0
30,13.3,18.7,18.3,16.6,77.3,49.8,45.5,49.4,3.6,4.1,4.7,4.7,1017.3
33,12.4,17.8,17.8,16.2,82.1,54.1,50.1,54.3,1.2,2.3,5.2,5.2,1016.9
36,15.0,17.5,17.3,15.7,73.7,55.7,54.2,58.8,1.7,1.9,3.4,3.4,1018.5
39,22.5,20.2,16.9,15.4,49.4,53.3,58.4,61.4,1.0,1.3,2.6,2.6,1018.6
42,24.8,22.9,18.5,16.3,44.9,47.6,58.2,63.7,0.5,0.3,1.0,1.0,1016.4
