fst_hour,t2m,t1000,t950,t925,rh2m,rh1000,rh950,rh925,spd10,spd1000,spd950,spd925,msl,day_of_year,hour_of_day
0,9.2,11.9,9.6,8.2,78.6,62.6,65.7,65.2,1.9,6.7,6.3,6.3,1025.8,329,20
3,7.9,10.4,9.7,8.4,85.4,70.1,65.4,65.8,1.8,3.8,4.1,4.1,1026.0,329,23
6,8.4,8.8,8.8,7.8,84.7,78.6,71.4,69.5,0.3,1.1,3.3,3.3,1025.3,330,2
9,8.3,7.4,7.8,7.1,88.5,89.2,78.1,75.1,3.6,6.1,3.3,3.3,1024.6,330,5
12,8.3,6.6,7.0,6.4,88.2,94.9,80.7,78.3,3.6,5.6,5.1,5.1,1026.1,330,8
15,11.9,9.0,5.9,6.0,67.5,77.9,85.9,80.2,3.5,4.4,4.5,4.5,1025.3,330,11
18,14.0,11.7,7.5,5.6,57.2,63.0,78.5,84.7,3.4,4.3,4.7,4.7,1021.8,330,14
21,11.6,11.7,8.3,7.0,65.2,59.9,70.4,71.5,2.3,3.7,5.7,5.7,1021.0,330,17
24,7.9,10.4,8.9,8.0,77.2,57.2,55.1,57.6,3.4,5.4,8.5,8.5,1021.4,330,20
27,5.7,10.2,9.5,8.9,85.0,52.9,51.3,44.3,2.1,4.1,7.9,7.9,1020.9,330,23
30,4.9,10.2,10.2,9.6,88.3,57.9,45.9,30.9,2.8,3.5,7.0,7.0,1020.2,331,2
33,4.6,9.4,10.7,10.1,91.7,69.6,39.3,32.2,3.5,3.8,8.7,8.7,1019.8,331,5
36,6.9,9.2,10.9,10.3,85.4,67.9,41.8,41.4,2.0,4.5,11.8,11.8,1021.9,331,8
39,14.8,12.2,10.8,10.3,52.1,56.9,44.5,38.1,3.2,5.1,14.1,14.1,1022.2,331,11
42,17.8,15.9,11.6,10.0,36.4,38.0,46.2,39.6,6.1,7.8,9.4,9.4,1020.1,331,14
